"",ML4,ML3,ML1,ML2,ML5
Miscellaneous_mental_health_disorders,-0.033,1.005,0.024,-0.008,-0.024
Depression_and_Mood_disorders,0.332,0.247,-0.051,-0.099,0.189
Inflammatory_conditions_of_male_genital_organs,0.085,0.237,0.206,0.038,0.301
Allergic_rhinitis,0,0.222,0.1,0.16,0.198
Headache__including_migraine,0.234,0.187,0.002,0.234,0.179
Disorders_of_lipid_metabolism,0.368,0.161,-0.19,0.008,0.207
Anxiety_disorders,0.234,0.156,-0.168,0.083,0.319
Thyroid_disorders,0.371,0.154,-0.168,0.195,-0.134
Hypertension,0.53,0.154,-0.216,-0.027,0.083
Vision_defects,0.229,0.129,-0.02,0.171,0.16
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.234,0.063,-0.139,0.034,0.101
Atopic_dermatitis,0.039,0.026,0.991,0.031,0.023
Other_acquired_deformities,-0.018,-0.013,0.021,0.999,-0.004
Asthma,0.13,-0.029,0.349,-0.196,0.193
Other_male_genital_disorders,-0.096,-0.052,0.075,-0.015,0.75
Obesity,1.005,-0.066,0.085,-0.019,-0.045
Sexual_disorders,0.169,-0.142,-0.287,0.126,0.325
