"",ML1,ML7,ML2,ML5,ML6,ML3,ML4
Miscellaneous_mental_health_disorders,-0.107,0.71,0.042,0.175,-0.058,-0.074,0.103
Allergic_rhinitis,-0.096,0.39,0.188,0.097,0.223,-0.053,0.078
Inflammatory_conditions_of_male_genital_organs,0.201,0.357,0.166,-0.176,-0.097,0.352,-0.095
Disorders_of_lipid_metabolism,0.377,0.325,-0.147,-0.032,0.145,0.097,-0.052
Headache__including_migraine,0.188,0.312,0.072,-0.034,0.199,0.05,0.097
Other_acquired_deformities,-0.097,0.265,0.123,-0.131,0.209,-0.071,0.195
Hypertension,0.574,0.23,-0.217,-0.005,-0.021,0.076,-0.114
Thyroid_disorders,0.419,0.229,-0.2,-0.068,-0.144,-0.01,-0.064
Anxiety_disorders,0.143,0.219,-0.128,0.261,0.059,0.117,0.091
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.213,0.05,-0.114,-0.078,0.093,0.035,0.192
Depression_and_Mood_disorders,0.039,0.032,-0.009,0.976,0.004,0.03,-0.025
Atopic_dermatitis,0.032,0.027,0.988,-0.015,-0.026,0.02,-0.025
Vision_defects,0.034,0.023,-0.026,-0.022,-0.024,0.035,0.984
Asthma,0.11,0.017,0.318,0.17,-0.126,0.089,-0.002
Sexual_disorders,0.015,-0.007,-0.024,0.003,0.985,0.02,-0.025
Other_male_genital_disorders,-0.046,-0.042,0.012,0.037,0.025,0.985,0.041
Obesity,0.95,-0.104,0.106,0.09,0.042,-0.06,0.093
