"",ML8,ML4,ML1,ML5,ML6,ML3,ML2,ML7
Atopic_dermatitis,0.018,0.989,0.034,0.033,-0.017,0.047,-0.067,-0.034
Asthma,0.002,0.387,-0.093,0.08,0.175,-0.212,0.201,0.064
Inflammatory_conditions_of_male_genital_organs,0.178,0.217,0.287,0.346,-0.185,0.025,0.085,-0.083
Obesity,0.81,0.174,-0.137,-0.098,0.123,-0.051,0.128,0.141
Allergic_rhinitis,0.051,0.112,0.213,0.017,0.136,0.194,-0.089,0.027
Other_acquired_deformities,-0.025,0.034,-0.017,-0.02,0.003,0.991,0.036,0.025
Headache__including_migraine,0.265,0.033,0.18,0.103,0,0.224,0.055,0.047
Miscellaneous_mental_health_disorders,-0.017,0.027,0.979,-0.036,0.058,-0.013,0.026,0.043
Other_male_genital_disorders,-0.037,0.025,-0.038,0.99,0.028,-0.02,0.007,0.045
Depression_and_Mood_disorders,0.007,-0.01,0.046,0.019,0.985,0.002,-0.007,-0.023
Vision_defects,0.014,-0.034,0.035,0.038,-0.02,0.026,-0.021,0.984
Thyroid_disorders,0.018,-0.054,0.023,0.01,-0.009,0.038,0.982,-0.022
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.306,-0.135,0.081,0.038,-0.093,0.02,-0.118,0.176
Anxiety_disorders,0.23,-0.14,0.113,0.12,0.275,0.118,-0.064,0.074
Disorders_of_lipid_metabolism,0.459,-0.141,0.159,0.128,-0.021,0.004,0.113,-0.052
Hypertension,0.686,-0.172,0.171,0.039,-0.035,-0.004,-0.054,-0.105
Sexual_disorders,0.307,-0.278,-0.108,0.227,0.095,0.191,-0.165,-0.145
