"",ML3,ML2,ML4,ML1
Hypertension,-0.039,0.994,-0.034,0.056
Sexual_disorders,0.01,0.454,0.337,-0.133
Disorders_of_lipid_metabolism,0.253,0.381,0.083,-0.158
Obesity,0.32,0.226,-0.546,-0.016
Miscellaneous_mental_health_disorders,0.174,0.207,0.003,0.015
Inflammatory_conditions_of_male_genital_organs,-0.015,0.182,0.133,0.164
Thyroid_disorders,0.397,0.146,-0.236,-0.366
Headache__including_migraine,0.207,0.101,0.134,0.092
Alcohol-related_disorders,0.193,0.1,0.519,0.032
Anxiety_disorders,0.546,0.098,0.217,0.094
Esophageal_disorders,0.162,0.091,0.033,0.257
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.166,0.063,0.079,0.111
Asthma,0.035,0.04,-0.021,0.988
Adictions,0.305,0.025,0.451,0.083
Vision_defects,0.303,0.014,-0.226,0.077
Hepatitis,0.173,-0.042,0.611,-0.077
Allergic_rhinitis,0.255,-0.075,-0.196,0.17
Depression_and_Mood_disorders,0.673,-0.121,0.082,0.105
Other_male_genital_disorders,0.281,-0.153,-0.045,0.049
