"",ML8,ML1,ML3,ML6,ML7,ML2,ML4,ML5
Hypertension,-0.033,0.959,0.007,0.046,-0.052,0.044,0.045,0.094
Sexual_disorders,0.163,0.415,-0.157,-0.182,0.432,-0.048,0.042,-0.083
Asthma,0.352,0.245,0.218,0.119,-0.124,0.041,-0.361,-0.164
Obesity,0.104,0.21,0.025,-0.107,-0.36,-0.047,0.184,0.28
Miscellaneous_mental_health_disorders,0.413,0.181,-0.077,-0.165,0.028,0.102,0.025,-0.091
Vision_defects,0.174,0.119,0.251,0.084,-0.098,-0.073,0.054,-0.089
Headache__including_migraine,0.262,0.1,0.122,-0.107,0.318,0.157,0.091,-0.099
Disorders_of_lipid_metabolism,0.004,0.059,0.023,-0.004,0.03,-0.008,-0.031,0.977
Esophageal_disorders,0.267,0.058,0.139,-0.032,-0.009,0.094,-0.032,0.107
Alcohol-related_disorders,0.343,0.05,-0.218,0.059,0.379,-0.145,-0.15,0.088
Anxiety_disorders,0.469,0.047,0.123,0.252,0.048,0.013,0.17,0.072
Thyroid_disorders,0.019,0.04,0.02,0.012,0,-0.023,0.99,-0.033
Inflammatory_conditions_of_male_genital_organs,-0.027,0.035,0.029,0.034,0.019,0.982,-0.031,-0.015
Adictions,0.028,0.035,-0.07,0.968,0.057,0.037,0.003,-0.006
Allergic_rhinitis,0.019,-0.005,0.987,-0.065,0.04,0.027,0.015,0.03
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.385,-0.097,-0.246,-0.159,-0.011,0.336,0.059,0.171
Hepatitis,-0.047,-0.102,0.104,0.16,0.792,0.049,0.019,0.108
Depression_and_Mood_disorders,0.59,-0.11,0.114,0.252,-0.019,-0.106,0.056,0.08
Other_male_genital_disorders,0.231,-0.228,-0.057,0.066,-0.15,0.291,0.142,0.057
