"",ML4,ML1,ML3,ML2,ML5,ML6
Hepatitis,-0.008,0.993,-0.001,0.013,0.025,0.013
Disorders_of_lipid_metabolism,0.627,0.272,0.066,0.054,-0.114,-0.059
Headache__including_migraine,0.039,0.267,-0.008,0.109,0.515,-0.004
Adictions,0.006,0.206,0.287,-0.148,-0.17,0.572
Allergic_rhinitis,-0.005,0.011,0.024,0.996,-0.027,-0.001
Inflammatory_conditions_of_male_genital_organs,0.043,0.01,-0.23,0.187,0.25,0.454
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.081,0.007,0.052,-0.166,0.391,0.122
Depression_and_Mood_disorders,-0.012,0,0.879,0.042,0.076,0.035
Anxiety_disorders,0.158,-0.001,0.307,0.113,0.027,0.376
Miscellaneous_mental_health_disorders,0.015,-0.015,0.137,-0.081,0.717,-0.052
Vision_defects,0.072,-0.045,0.247,0.205,0.096,-0.063
Hypertension,0.729,-0.092,-0.117,-0.032,0.134,0.145
Other_male_genital_disorders,-0.099,-0.139,0.115,0.026,0.125,0.241
Asthma,0.043,-0.166,0.097,0.187,0.118,0.331
Obesity,0.539,-0.21,0.177,0.025,-0.027,-0.233
