"",ML5,ML2,ML3,ML1,ML4,ML6,ML7
Allergic_rhinitis,-0.005,0.992,0.04,-0.01,0.016,-0.025,0.023
Vision_defects,0.199,0.249,-0.089,0.114,-0.106,0.139,-0.092
Asthma,0.286,0.185,0.113,0.2,-0.197,0.063,-0.105
Anxiety_disorders,0.535,0.127,-0.01,0.098,0.072,0.1,-0.028
Headache__including_migraine,-0.029,0.114,0.055,0.082,-0.069,0.529,0.305
Depression_and_Mood_disorders,0.653,0.108,-0.114,-0.107,0.083,0.222,-0.134
Hepatitis,0.108,0.061,0,-0.083,0.146,0.076,0.742
Obesity,0.033,0.058,-0.068,0.218,0.265,0.049,-0.408
Inflammatory_conditions_of_male_genital_organs,-0.012,0.04,0.991,0.021,-0.006,0.004,-0.003
Disorders_of_lipid_metabolism,0,0.014,-0.001,0.049,0.977,-0.029,0.039
Hypertension,0.007,-0.009,0.02,0.965,0.052,0.033,-0.032
Other_male_genital_disorders,0.245,-0.03,0.281,-0.22,0.072,0.076,-0.236
Miscellaneous_mental_health_disorders,0.017,-0.08,0.006,0.126,-0.07,0.676,0.003
Adictions,0.722,-0.138,0.092,0.067,-0.038,-0.184,0.272
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.034,-0.225,0.276,-0.109,0.203,0.399,-0.069
