"",ML9,ML10,ML1,ML6,ML4,ML7,ML2,ML3,ML8,ML5
Osteoporosis,-0.084,0.498,-0.087,0.001,-0.051,0.271,0.063,0.103,-0.185,-0.001
Osteoarthritis,0.018,0.495,0.029,0.121,0.143,-0.109,0.159,0.083,0.041,-0.196
Menopausal_disorders,0.145,0.485,-0.166,0.153,-0.046,0.081,0.024,-0.208,0.168,0.1
Acquired_foot_deformities,0.058,0.476,-0.027,0,-0.034,-0.083,0.101,-0.062,0.192,0.091
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.229,0.341,-0.164,0.103,0.061,0.217,0.066,-0.011,0.089,-0.15
Glaucoma,-0.13,0.296,0.263,0.172,0.01,-0.02,-0.244,0.109,-0.072,0.133
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.001,0.281,0.27,-0.187,0.253,0.017,-0.059,0.148,-0.037,0.178
Disorders_of_lipid_metabolism,0.032,0.28,0.251,0.212,0.005,0.222,-0.057,-0.02,0.094,0.042
Neuropathy_and_other_nervous_system_disorders,0.19,0.238,0.192,-0.065,0.179,-0.096,0.06,0.346,-0.05,0.101
Thyroid_disorders,0.11,0.216,0.223,-0.029,0.235,-0.094,0.047,0.017,-0.166,0.071
Vision_defects,0.257,0.2,-0.043,0.073,0.007,0.148,-0.043,-0.056,0.014,-0.013
Esophageal_disorders,0.263,0.19,0.109,0.053,0.208,-0.123,0.03,0.055,-0.018,0.009
Depression_and_Mood_disorders,0.392,0.175,0.237,-0.098,0.026,0.214,0.01,-0.009,-0.049,0.019
Irritable_bowel_and_other_GI_disorders,0.234,0.171,0.113,-0.181,-0.022,0.132,0.075,0.057,-0.094,0.093
Anxiety_disorders,0.469,0.169,0.066,-0.063,0.004,0.031,-0.079,0.007,0.089,0.048
Adjustment_disorders,0.212,0.1,0.037,0.035,0.201,-0.088,0.172,0.037,-0.061,-0.035
Urinary_incontinence,0.413,0.042,0.094,0.13,0.093,0.102,-0.365,-0.152,0.068,-0.102
Atopic_dermatitis,0.011,0.023,0.055,0.021,0.015,0.044,0.962,-0.036,-0.018,0.021
Other_nutritional__endocrine__and_metabolic_disorders,-0.019,0.009,0.038,-0.015,0.014,0.014,-0.017,0.031,0.989,0.009
Hypertension,-0.003,0.007,0.047,0.972,0.018,-0.002,0.013,0.03,-0.014,0.02
Allergic_rhinitis,0.233,0.005,-0.043,0.021,0.083,-0.063,0.105,0.126,0.162,0.098
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.011,-0.016,0.035,-0.001,0.065,0.957,0.038,0.053,0.018,0.001
Nonmalignant_breast_conditions,0.009,-0.016,-0.028,0.019,0.005,0,0.015,-0.015,0.011,0.995
Asthma,0.25,-0.018,0.019,-0.01,0.126,-0.112,0.217,0.284,0.18,-0.003
Other_non-traumatic_joint_disorders,-0.002,-0.018,-0.056,0.036,-0.061,0.058,-0.033,0.977,0.032,-0.018
Miscellaneous_mental_health_disorders,0.512,-0.02,-0.066,0.185,-0.046,-0.036,0.077,0.046,-0.073,0.041
Psoriasis_and_other_inflammatory,0.107,-0.033,0.058,0.193,0.06,0.034,0.129,0.109,-0.089,0.068
Myodesopsia_and_other_eye_disorders,-0.031,-0.033,-0.054,0.018,0.989,0.055,0.008,-0.052,0.018,0.006
Obesity,0.222,-0.034,0.387,0.202,0.14,-0.126,-0.046,0.101,0.1,-0.023
Diabetes,0.003,-0.044,0.925,0.085,-0.064,0.056,0.078,-0.07,0.068,-0.04
Headache__including_migraine,0.499,-0.058,0.08,0.095,-0.003,0.123,0.032,0.057,-0.113,0.105
Menstrual_disorders,0.586,-0.078,-0.024,-0.01,-0.05,-0.002,0.111,0.037,0.08,0.069
