"",ML11,ML12,ML10,ML8,ML4,ML9,ML3,ML2,ML7,ML1,ML5,ML6
Osteoporosis,-0.061,0.509,-0.08,-0.002,-0.049,0.274,0.106,-0.187,-0.032,0.072,-0.002,-0.008
Acquired_foot_deformities,0.066,0.489,-0.022,-0.011,-0.045,-0.074,-0.065,0.196,-0.035,0.098,0.092,0.05
Osteoarthritis,-0.003,0.463,0.012,0.135,0.131,-0.111,0.072,0.05,0.089,0.148,-0.204,0.069
Menopausal_disorders,0.076,0.433,-0.185,0.178,-0.055,0.069,-0.218,0.187,0.168,0.005,0.088,0.084
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.223,0.331,-0.167,0.106,0.066,0.212,-0.018,0.098,0.074,0.067,-0.156,-0.015
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.021,0.313,0.277,-0.2,0.245,0.031,0.146,-0.038,-0.056,-0.053,0.181,0.019
Glaucoma,-0.168,0.269,0.243,0.198,0.005,-0.033,0.104,-0.065,0.113,-0.249,0.122,0.022
Disorders_of_lipid_metabolism,0.028,0.268,0.245,0.221,0.008,0.217,-0.023,0.098,0.054,-0.055,0.035,-0.01
Neuropathy_and_other_nervous_system_disorders,0.184,0.246,0.192,-0.074,0.164,-0.081,0.338,-0.042,0.003,0.054,0.104,0.073
Thyroid_disorders,0.135,0.244,0.229,-0.041,0.232,-0.082,0.012,-0.167,-0.036,0.054,0.073,-0.005
Vision_defects,0.303,0.244,-0.021,0.039,0.004,0.166,-0.055,0.012,-0.115,-0.037,-0.005,0.01
Esophageal_disorders,0.278,0.199,0.095,0.074,0.244,-0.147,0.04,-0.016,0.176,0.055,-0.011,-0.222
Depression_and_Mood_disorders,0.307,0.142,0.228,-0.088,0.005,0.219,-0.02,-0.023,0.142,-0.017,0.019,0.159
Anxiety_disorders,0.384,0.127,0.052,-0.054,-0.02,0.033,-0.006,0.117,0.164,-0.112,0.044,0.169
Urinary_incontinence,0.372,0.029,0.093,0.123,0.08,0.111,-0.158,0.083,0.044,-0.379,-0.1,0.095
Atopic_dermatitis,0.014,0.023,0.056,0.021,0.011,0.046,-0.041,-0.016,0.022,0.951,0.022,0.04
Miscellaneous_mental_health_disorders,0.583,0.017,-0.044,0.134,-0.058,-0.008,0.043,-0.073,-0.136,0.074,0.053,0.055
Allergic_rhinitis,0.218,0.011,-0.043,0.018,0.082,-0.06,0.121,0.17,0.03,0.102,0.099,0.009
Other_nutritional__endocrine__and_metabolic_disorders,-0.025,0.004,0.039,-0.017,0.015,0.015,0.032,0.991,-0.036,-0.016,0.01,-0.007
Hypertension,0.002,-0.005,0.042,0.975,0.017,0,0.031,-0.017,-0.031,0.011,0.021,0.017
Adjustment_disorders,0.008,-0.009,0.012,0.012,0.037,-0.031,0.023,-0.008,0.013,0.022,-0.007,0.984
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.015,-0.011,0.042,0.002,0.076,0.947,0.058,0.019,0.033,0.042,-0.001,-0.026
Other_non-traumatic_joint_disorders,-0.004,-0.013,-0.058,0.037,-0.065,0.059,0.976,0.034,0.011,-0.035,-0.017,0.022
Nonmalignant_breast_conditions,0.01,-0.015,-0.028,0.022,0.006,-0.001,-0.015,0.013,0.016,0.016,0.992,-0.006
Irritable_bowel_and_other_GI_disorders,-0.028,-0.021,-0.006,-0.027,-0.014,0.018,0.007,-0.036,0.999,0.011,0.015,0.014
Asthma,0.236,-0.026,0.008,0.005,0.143,-0.123,0.273,0.188,0.131,0.224,-0.012,-0.09
Myodesopsia_and_other_eye_disorders,-0.038,-0.031,-0.06,0.019,0.978,0.067,-0.059,0.02,-0.011,0.006,0.009,0.048
Headache__including_migraine,0.514,-0.035,0.093,0.071,-0.003,0.137,0.053,-0.106,-0.016,0.033,0.111,0.01
Diabetes,-0.007,-0.037,0.922,0.086,-0.071,0.062,-0.072,0.071,0.005,0.075,-0.039,0.034
Obesity,0.234,-0.038,0.375,0.217,0.167,-0.138,0.091,0.102,0.109,-0.026,-0.035,-0.158
Psoriasis_and_other_inflammatory,0.076,-0.048,0.051,0.203,0.055,0.032,0.105,-0.082,0.066,0.119,0.066,0.044
Menstrual_disorders,0.523,-0.084,-0.023,-0.014,-0.06,0.004,0.027,0.102,0.103,0.091,0.072,0.091
