"",ML14,ML13,ML10,ML7,ML1,ML2,ML11,ML12,ML9,ML8,ML3,ML6,ML4,ML5
Diabetes,-0.028,0.856,0.138,-0.037,0.069,0.077,-0.055,0.092,0.008,0.088,-0.072,0.042,-0.079,0.094
Disorders_of_lipid_metabolism,0.189,0.312,0.014,0.131,0.193,0.122,0.163,-0.075,0.052,0.012,-0.015,-0.01,0.032,0.017
Hypertension,0.241,0.286,0.238,0.12,0.049,-0.033,-0.038,0.033,-0.158,-0.127,0.089,0.087,0.059,0.209
Thyroid_disorders,0.216,0.224,-0.039,0.094,-0.107,-0.134,0.131,0.041,-0.002,0.097,0.003,-0.015,0.237,-0.014
Depression_and_Mood_disorders,0.272,0.196,0.049,0.084,0.225,-0.017,0.06,-0.045,0.184,0.026,-0.017,0.164,0.007,-0.102
Esophageal_disorders,0.403,0.193,-0.066,0.023,-0.167,0.035,0.139,0.031,0.182,-0.022,0.057,-0.214,0.285,0.05
Neuropathy_and_other_nervous_system_disorders,0.25,0.173,0.001,0.158,-0.096,-0.018,0.133,0.037,0.046,-0.012,0.332,0.065,0.189,-0.049
Urinary_incontinence,0.288,0.138,0.161,0.03,0.103,0.095,0.116,-0.423,0.034,-0.017,-0.144,0.129,0.072,-0.063
Headache__including_migraine,0.511,0.09,0.065,0.068,0.178,-0.115,-0.088,0.045,-0.003,-0.073,0.072,0.026,0.021,0.034
Psoriasis_and_other_inflammatory,0.122,0.081,0.089,0.067,0.059,-0.104,-0.076,0.118,0.048,0.034,0.116,0.059,0.045,-0.02
Acquired_foot_deformities,0.294,0.068,-0.27,0.242,-0.108,0.237,0.147,0.051,0.014,0.185,-0.067,0.007,-0.033,-0.089
Atopic_dermatitis,0.011,0.064,0.004,0.052,0.05,-0.013,0.054,0.94,0.013,-0.021,-0.048,0.048,0.013,-0.058
Obesity,-0.011,0.057,0.958,0.045,-0.049,0.025,0.032,-0.006,0.024,0.007,0.018,-0.045,0.035,-0.035
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.036,0.045,-0.002,0.023,0.004,-0.031,-0.009,-0.021,-0.01,0.993,0.035,-0.006,0.033,-0.011
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.001,0.044,-0.051,-0.01,0.934,0.016,0.06,0.041,0.048,0.011,0.06,-0.037,0.08,-0.015
Glaucoma,-0.022,0.038,-0.036,0.027,-0.015,-0.006,0.032,-0.041,0.017,-0.01,0.009,0.003,0.008,0.982
Other_nutritional__endocrine__and_metabolic_disorders,-0.052,0.032,0.016,0.012,0.014,0.988,-0.047,-0.016,-0.039,-0.03,0.031,-0.008,0.017,-0.004
Anxiety_disorders,0.327,0.025,0.105,-0.008,0.01,0.139,0.15,-0.127,0.189,0.041,-0.015,0.193,-0.021,-0.061
Adjustment_disorders,-0.018,0.016,-0.043,0.006,-0.038,-0.009,0.003,0.024,0.017,-0.007,0.025,0.989,0.045,0.005
Irritable_bowel_and_other_GI_disorders,-0.043,-0.005,0.016,0.023,0.032,-0.038,-0.032,0.006,0.994,-0.009,0.007,0.019,-0.019,0.018
Asthma,0.228,-0.024,0.089,-0.128,-0.084,0.189,-0.086,0.249,0.118,0.025,0.271,-0.058,0.141,0.078
Allergic_rhinitis,0.227,-0.026,0.01,-0.05,-0.078,0.189,0.053,0.116,0.038,0.005,0.123,0.023,0.1,0.022
Osteoporosis,-0.056,-0.029,0.025,-0.01,0.045,-0.049,0.981,0.036,-0.032,-0.008,0.036,0.003,-0.018,0.037
Osteoarthritis,-0.024,-0.041,0.038,0.976,-0.008,0.011,-0.015,0.038,0.027,0.029,0.005,0.009,0.006,0.036
Miscellaneous_mental_health_disorders,0.561,-0.043,0.131,0.062,0.043,-0.087,-0.078,0.071,-0.139,0.042,0.052,0.089,-0.069,-0.015
Other_non-traumatic_joint_disorders,-0.001,-0.049,0.02,0.004,0.056,0.032,0.035,-0.036,0.007,0.041,0.966,0.025,-0.065,0.016
Myodesopsia_and_other_eye_disorders,-0.047,-0.063,0.039,0.006,0.076,0.021,-0.025,0.005,-0.023,0.046,-0.06,0.06,0.95,0.01
Menstrual_disorders,0.441,-0.085,0.12,-0.144,0.039,0.097,-0.104,0.126,0.106,0.094,0.022,0.13,-0.077,0.056
Vision_defects,0.342,-0.13,0.07,0.04,0.215,0.013,-0.03,0.002,-0.132,0.181,-0.095,0.021,-0.047,0.189
Menopausal_disorders,0.228,-0.19,0.083,0.01,0.033,0.225,0.278,0.025,0.148,0.121,-0.251,0.111,-0.064,0.092
Nonmalignant_breast_conditions,0.209,-0.197,0.061,-0.263,-0.091,0.018,0.014,0.223,0.101,0.221,-0.038,-0.002,0.057,0.141
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.251,-0.226,0.106,0.149,0.28,0.094,0.02,0.061,0.03,0.113,-0.056,0.005,0.007,0.126
