"",ML4,ML5,ML1,ML3,ML2
Osteoporosis,-0.195,0.67,-0.105,0.096,0.113
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.04,0.463,0.169,0.139,0.177
Menopausal_disorders,0.272,0.447,-0.087,-0.004,-0.197
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.277,0.418,-0.072,0.038,0.002
Disorders_of_lipid_metabolism,0.099,0.397,0.371,-0.061,0.01
Osteoarthritis,0.118,0.397,0.065,0.104,0.028
Myodesopsia_and_other_eye_disorders,0.259,0.311,-0.107,0.068,-0.225
Depression_and_Mood_disorders,0.282,0.291,0.217,0.048,0.001
Glaucoma,-0.05,0.279,0.275,-0.222,0.096
Acquired_foot_deformities,0.222,0.278,-0.032,0.066,-0.083
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.156,0.245,0.118,0,0.074
Thyroid_disorders,0.165,0.221,0.121,0.089,-0.06
Vision_defects,0.307,0.219,-0.002,-0.038,-0.039
Neuropathy_and_other_nervous_system_disorders,0.26,0.218,0.102,0.087,0.276
Esophageal_disorders,0.322,0.211,0.088,0.026,-0.011
Irritable_bowel_and_other_GI_disorders,0.168,0.194,0.02,0.124,0.055
Urinary_incontinence,0.365,0.172,0.195,-0.384,-0.14
Anxiety_disorders,0.451,0.164,0.059,-0.082,0.003
Adjustment_disorders,0.234,0.128,0.018,0.177,-0.017
Hypertension,0.19,0.125,0.439,-0.012,0.091
Psoriasis_and_other_inflammatory,0.154,0.052,0.107,0.154,0.11
Atopic_dermatitis,0.043,0.044,0.063,0.968,-0.041
Headache__including_migraine,0.444,0.043,0.108,0.084,0.082
Other_non-traumatic_joint_disorders,0.022,0.019,-0.025,-0.035,0.992
Nonmalignant_breast_conditions,0.293,-0.008,-0.165,0.177,-0.03
Obesity,0.289,-0.01,0.476,-0.076,0.074
Allergic_rhinitis,0.375,-0.034,-0.033,0.092,0.105
Diabetes,-0.049,-0.039,1.004,0.069,-0.039
Miscellaneous_mental_health_disorders,0.52,-0.048,-0.01,0.089,0.063
Other_nutritional__endocrine__and_metabolic_disorders,0.255,-0.055,0.263,-0.183,0.056
Asthma,0.391,-0.075,0.025,0.184,0.246
Menstrual_disorders,0.6,-0.119,-0.009,0.112,0.053
