"",ML1,ML2
Diabetes,-0.066,0.805
Obesity,0.048,0.671
Hypertension,0.124,0.595
Disorders_of_lipid_metabolism,0.32,0.37
Urinary_incontinence,0.221,0.286
Psoriasis_and_other_inflammatory,0.138,0.225
Headache__including_migraine,0.387,0.193
Depression_and_Mood_disorders,0.467,0.179
Esophageal_disorders,0.392,0.133
Miscellaneous_mental_health_disorders,0.39,0.123
Osteoarthritis,0.405,0.115
Asthma,0.293,0.102
Thyroid_disorders,0.349,0.091
Menstrual_disorders,0.399,0.087
Anxiety_disorders,0.484,0.073
Neuropathy_and_other_nervous_system_disorders,0.466,0.072
Adjustment_disorders,0.344,0.001
Allergic_rhinitis,0.317,-0.001
Vision_defects,0.429,-0.007
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.413,-0.024
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.538,-0.031
Menopausal_disorders,0.548,-0.083
Nonmalignant_breast_conditions,0.302,-0.136
Acquired_foot_deformities,0.546,-0.175
Osteoporosis,0.409,-0.178
