"",ML1,ML3,ML2
Menstrual_disorders,-0.087,0.676,0.001
Miscellaneous_mental_health_disorders,0.044,0.478,0.08
Headache__including_migraine,0.044,0.473,0.152
Anxiety_disorders,0.178,0.432,0.049
Allergic_rhinitis,0.046,0.375,-0.038
Nonmalignant_breast_conditions,0.03,0.369,-0.173
Asthma,0.059,0.315,0.078
Vision_defects,0.236,0.282,-0.007
Depression_and_Mood_disorders,0.289,0.262,0.188
Esophageal_disorders,0.23,0.238,0.135
Neuropathy_and_other_nervous_system_disorders,0.322,0.225,0.087
Adjustment_disorders,0.193,0.222,0.002
Urinary_incontinence,0.089,0.184,0.278
Menopausal_disorders,0.475,0.149,-0.046
Thyroid_disorders,0.267,0.136,0.109
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.484,0.124,0.011
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.356,0.114,0.005
Psoriasis_and_other_inflammatory,0.062,0.107,0.223
Obesity,-0.031,0.102,0.656
Acquired_foot_deformities,0.535,0.079,-0.126
Hypertension,0.104,0.034,0.608
Disorders_of_lipid_metabolism,0.348,-0.003,0.417
Diabetes,-0.063,-0.025,0.81
Osteoporosis,0.529,-0.093,-0.118
Osteoarthritis,0.563,-0.136,0.191
