"",ML4,ML6,ML1,ML3,ML2,ML5
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.033,0.6,0.149,-0.129,0.159,-0.086
Acquired_foot_deformities,-0.013,0.523,-0.021,0.02,0.082,0.063
Osteoarthritis,-0.011,0.495,-0.012,0.163,-0.172,0.143
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.229,0.446,-0.151,0.116,-0.176,0.076
Vision_defects,0.284,0.231,-0.058,0.071,-0.051,0.01
Thyroid_disorders,0.105,0.202,0.158,-0.019,0.099,0.142
Menopausal_disorders,0.144,0.189,-0.089,0.139,0.091,0.32
Neuropathy_and_other_nervous_system_disorders,0.242,0.185,0.105,-0.02,0.118,0.181
Asthma,0.322,0.171,0.01,0.024,0.013,-0.134
Disorders_of_lipid_metabolism,0.066,0.138,0.291,0.198,0.023,0.275
Depression_and_Mood_disorders,0.38,0.113,0.261,-0.119,0.012,0.21
Adjustment_disorders,0.229,0.103,0.03,0.044,0.006,0.059
Psoriasis_and_other_inflammatory,0.092,0.092,0.045,0.203,0.086,-0.029
Esophageal_disorders,0.302,0.067,0.077,0.063,0.029,0.169
Allergic_rhinitis,0.307,0.056,-0.031,0.029,0.099,-0.022
Miscellaneous_mental_health_disorders,0.499,0.044,-0.093,0.177,0.029,-0.083
Nonmalignant_breast_conditions,0.016,0.006,-0.022,0.024,0.992,0.014
Diabetes,-0.005,0.005,0.981,0.038,-0.023,-0.024
Menstrual_disorders,0.637,-0.003,-0.007,-0.029,0.051,-0.135
Hypertension,-0.005,-0.005,0.041,0.982,0.023,-0.005
Osteoporosis,-0.049,-0.005,-0.049,-0.016,0.022,0.729
Obesity,0.242,-0.017,0.366,0.207,-0.02,0.007
Headache__including_migraine,0.503,-0.017,0.07,0.079,0.093,0.003
Anxiety_disorders,0.529,-0.028,0.073,-0.083,0.02,0.199
Urinary_incontinence,0.362,-0.031,0.079,0.123,-0.157,0.091
