"",ML7,ML5,ML1,ML4,ML2,ML3,ML6
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.03,0.59,0.155,-0.133,0.162,0.005,-0.079
Acquired_foot_deformities,-0.028,0.524,-0.018,0.018,0.085,0.03,0.062
Osteoarthritis,-0.034,0.482,-0.011,0.158,-0.171,0.1,0.138
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.237,0.458,-0.149,0.111,-0.173,-0.011,0.079
Vision_defects,0.29,0.236,-0.055,0.068,-0.047,-0.029,0.02
Thyroid_disorders,0.098,0.201,0.16,-0.022,0.1,0.015,0.146
Asthma,0.342,0.187,0.011,0.022,0.016,-0.056,-0.13
Neuropathy_and_other_nervous_system_disorders,0.22,0.184,0.105,-0.024,0.12,0.071,0.178
Menopausal_disorders,0.114,0.181,-0.089,0.136,0.093,0.095,0.316
Disorders_of_lipid_metabolism,0.07,0.145,0.292,0.196,0.023,-0.029,0.278
Depression_and_Mood_disorders,0.326,0.105,0.262,-0.123,0.016,0.158,0.202
Esophageal_disorders,0.358,0.088,0.08,0.059,0.03,-0.178,0.193
Psoriasis_and_other_inflammatory,0.08,0.083,0.043,0.2,0.087,0.072,-0.032
Allergic_rhinitis,0.303,0.059,-0.03,0.027,0.102,0.013,-0.017
Miscellaneous_mental_health_disorders,0.489,0.05,-0.092,0.174,0.034,0.026,-0.077
Nonmalignant_breast_conditions,0.014,0.006,-0.022,0.024,0.993,0.001,0.013
Diabetes,-0.012,0.004,0.982,0.037,-0.023,0.015,-0.025
Adjustment_disorders,0.007,0.002,0.004,0.017,0,0.994,-0.007
Obesity,0.291,0.001,0.368,0.206,-0.019,-0.153,0.02
Headache__including_migraine,0.489,-0.002,0.073,0.079,0.099,-0.002,0.008
Menstrual_disorders,0.607,-0.002,-0.004,-0.032,0.059,0.083,-0.129
Osteoporosis,-0.055,-0.006,-0.049,-0.018,0.02,-0.011,0.74
Hypertension,-0.006,-0.007,0.037,0.982,0.023,0.02,-0.006
Urinary_incontinence,0.354,-0.031,0.079,0.119,-0.155,0.046,0.093
Anxiety_disorders,0.488,-0.038,0.073,-0.089,0.024,0.144,0.198
