"",ML6,ML1,ML5,ML4,ML2,ML3,ML7,ML8
Diabetes,-0.026,0.993,0.037,-0.027,-0.025,0.02,-0.026,0.016
Obesity,0.331,0.327,0.16,0.222,0.032,-0.153,0.01,-0.252
Disorders_of_lipid_metabolism,0.087,0.302,0.195,0.056,0.019,-0.029,0.278,0.106
Depression_and_Mood_disorders,0.334,0.264,-0.123,0.06,0.022,0.163,0.186,0.063
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.097,0.203,-0.172,0.209,0.187,-0.012,-0.022,0.294
Thyroid_disorders,0.134,0.169,-0.039,0.122,0.117,0.012,0.149,0.07
Neuropathy_and_other_nervous_system_disorders,0.256,0.1,-0.055,0.212,0.154,0.065,0.164,-0.001
Esophageal_disorders,0.361,0.079,0.065,0.022,0.027,-0.169,0.188,0.08
Urinary_incontinence,0.354,0.067,0.13,-0.025,-0.161,0.059,0.096,-0.021
Headache__including_migraine,0.465,0.056,0.074,0.072,0.116,0.007,-0.017,-0.029
Anxiety_disorders,0.471,0.056,-0.082,0.02,0.03,0.158,0.183,-0.051
Acquired_foot_deformities,-0.005,0.055,0.023,0.094,0.053,0.001,0.011,0.679
Psoriasis_and_other_inflammatory,0.119,0.033,0.176,0.107,0.11,0.071,-0.008,-0.086
Hypertension,-0.008,0.027,0.982,0.007,0.012,0.021,0.001,0.005
Asthma,0.402,0.027,0.033,-0.078,-0.002,-0.045,-0.089,0.167
Adjustment_disorders,0.007,0.011,0.02,0.018,-0.001,0.99,-0.004,-0.006
Menstrual_disorders,0.603,-0.009,-0.015,-0.089,0.049,0.103,-0.108,0.035
Nonmalignant_breast_conditions,-0.001,-0.023,0.013,-0.021,0.994,-0.001,0.004,0.008
Allergic_rhinitis,0.302,-0.028,0.031,-0.004,0.099,0.017,-0.017,0.078
Osteoarthritis,-0.028,-0.029,0.006,0.997,-0.023,0.02,-0.003,0.022
Vision_defects,0.338,-0.036,0.073,0.009,-0.055,-0.023,0.049,0.187
Osteoporosis,-0.068,-0.05,-0.006,0.007,0.005,-0.006,0.761,-0.011
Menopausal_disorders,0.143,-0.069,0.152,-0.029,0.066,0.097,0.328,0.217
Miscellaneous_mental_health_disorders,0.486,-0.103,0.171,0.058,0.046,0.034,-0.089,0.015
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.347,-0.114,0.11,0.068,-0.181,-0.011,0.129,0.312
