"",ML8,ML7,ML2,ML5,ML3,ML6,ML9,ML1,ML4
Diabetes,-0.019,0.967,-0.032,-0.019,-0.028,0.045,-0.036,0.047,0.012
Disorders_of_lipid_metabolism,0.06,0.321,0.076,0.071,0.024,0.189,0.306,-0.025,-0.043
Depression_and_Mood_disorders,0.224,0.274,0.154,0.045,0.032,-0.135,0.185,0.053,0.16
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.075,0.232,0.186,0.249,0.238,-0.187,0.022,-0.05,-0.016
Thyroid_disorders,0.142,0.19,0.053,0.141,0.115,-0.033,0.13,-0.042,-0.006
Acquired_foot_deformities,0.129,0.129,0.195,0.255,0.137,0.005,0.138,-0.267,-0.028
Esophageal_disorders,0.335,0.121,0.099,0.034,0.019,0.065,0.206,-0.042,-0.196
Neuropathy_and_other_nervous_system_disorders,0.19,0.098,0.062,0.199,0.147,-0.06,0.138,0.067,0.063
Headache__including_migraine,0.476,0.09,0.055,0.073,0.089,0.079,-0.06,-0.014,-0.024
Psoriasis_and_other_inflammatory,0.041,0.048,0.096,0.079,0.117,0.176,-0.075,0.033,0.074
Hypertension,0.012,0.035,0.018,0.014,0.012,0.959,0.009,0.018,0.016
Obesity,0.005,0.031,0.019,0.032,0.017,0.014,0.006,0.962,-0.021
Anxiety_disorders,0.41,0.031,-0.027,-0.009,-0.01,-0.097,0.226,0.139,0.155
Asthma,0.268,0.028,0.241,-0.082,0.043,-0.008,-0.074,0.11,-0.028
Urinary_incontinence,0.263,0.024,0.011,-0.054,-0.177,0.099,0.135,0.191,0.074
Adjustment_disorders,-0.002,0.007,0.006,0.012,0.003,0.013,0,-0.019,0.992
Menstrual_disorders,0.601,0,0.024,-0.087,0.023,-0.029,-0.069,0.057,0.083
Vision_defects,0.399,-0.016,-0.003,0.054,-0.068,0.06,0.146,-0.033,-0.048
Osteoarthritis,-0.012,-0.021,-0.012,0.994,-0.03,0.015,-0.006,0.031,0.016
Allergic_rhinitis,0.311,-0.023,0.016,0.014,0.092,0.021,0.008,0.022,0.008
Nonmalignant_breast_conditions,-0.007,-0.024,-0.024,-0.028,0.997,0.012,-0.002,0.014,0.004
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.016,-0.028,1.005,-0.01,-0.024,0.015,-0.006,0.014,0.007
Osteoporosis,-0.097,-0.069,0.008,0.02,-0.012,-0.003,0.67,0.007,-0.008
Menopausal_disorders,0.109,-0.084,0.026,-0.007,0.072,0.118,0.462,0.053,0.102
Miscellaneous_mental_health_disorders,0.555,-0.094,-0.033,0.073,0.007,0.161,-0.074,0.027,0.007
