"",ML12,ML11,ML1,ML7,ML8,ML9,ML5,ML2,ML3,ML6,ML4,ML10
Congestive_heart_failure__nonhypertensive,-0.09,0.868,0.206,-0.093,-0.118,0.096,0.032,0.125,0.064,-0.093,0.127,0.086
Hypertension,0.066,0.578,-0.098,0.303,-0.076,0.061,0.102,-0.018,-0.129,-0.009,0.09,-0.111
Obesity,0.148,0.385,-0.089,0.202,0.154,-0.011,0.273,-0.067,0.026,0.192,0.076,-0.027
Asthma,0.189,0.363,-0.142,-0.058,0.208,0.222,0.087,-0.091,0.07,0.103,-0.122,-0.117
Miscellaneous_mental_health_disorders,0.247,0.264,-0.073,0.133,0.097,-0.368,0.057,0.081,-0.092,0.217,-0.338,0.002
Allergic_rhinitis,0.272,0.24,-0.09,-0.113,0.061,-0.248,-0.275,0.262,0.092,0.096,-0.046,-0.057
Headache__including_migraine,0.382,0.226,-0.128,0.217,0.157,-0.045,-0.024,-0.037,0.101,0.139,-0.092,0.062
Diabetes,0.269,0.214,0.076,0.178,0.079,-0.178,0.248,0.051,-0.218,-0.158,0.12,-0.062
Urinary_incontinence,0.322,0.188,0.03,0.118,0.239,0.023,-0.104,0.091,0.056,0.042,-0.069,0.04
Menopausal_disorders,0.386,0.141,-0.25,0.005,0.068,-0.035,0.08,0.045,0.066,-0.065,0.137,-0.189
Hepatic_steatosis_and_other_liver_diseases,-0.023,0.129,0.896,0.106,0.041,0.06,-0.006,0.022,-0.136,0.093,-0.014,0.083
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.037,0.109,0.034,-0.06,0.085,0.921,-0.036,0.052,-0.008,0.037,-0.151,0.085
Hepatitis,0.025,0.107,0.244,0.121,0.499,0.17,-0.106,-0.119,0.233,-0.152,0.115,-0.141
Neoplasms,0.033,0.1,-0.035,-0.056,0.049,-0.133,-0.046,-0.052,-0.074,0.083,0.951,0.001
Disorders_of_lipid_metabolism,0.406,0.098,-0.093,0.175,-0.173,0.08,0.227,0.01,0.057,0.051,0.094,0.016
Menstrual_disorders,0.405,0.096,-0.027,0.031,-0.11,-0.142,-0.184,0.15,-0.004,0.185,-0.077,0.365
Adjustment_disorders,0.32,0.08,0.106,-0.086,0.001,-0.127,0.1,-0.233,-0.201,0.303,-0.181,-0.181
Anxiety_disorders,0.473,0.075,0.047,0.049,0.197,0.049,-0.022,0.098,-0.039,0.014,0.034,0.13
Coagulation_and_hemorrhagic_disorders,-0.022,0.048,0.438,-0.091,0.177,-0.25,0.012,0.143,0.283,-0.029,0.026,0.033
Glaucoma,-0.016,0.032,0.016,-0.021,-0.014,0.035,0.069,0.974,-0.012,0.003,-0.045,-0.051
Acquired_foot_deformities,-0.002,0.031,-0.113,0.108,-0.048,-0.005,0.033,0.002,0.947,0.049,-0.067,0.046
Nonmalignant_breast_conditions,0.313,0.026,-0.083,-0.149,-0.06,-0.015,-0.144,-0.017,0.079,-0.051,-0.042,0.191
Cataract,-0.036,0.024,0.009,-0.027,0,-0.037,0.979,0.074,0.036,-0.017,-0.043,0.07
Epilepsy__convulsions,0.035,0.011,0.046,0.026,0.083,0.07,0.093,-0.07,0.032,0.001,0.008,0.926
Esophageal_disorders,0.312,0.007,0.306,0.151,-0.155,0.016,-0.008,-0.239,0.06,0.094,0.104,0.162
Vision_defects,0.371,0.007,-0.001,-0.09,-0.025,0.04,-0.067,0.054,0.127,0.016,0.099,0.149
Osteoporosis,0.041,-0.013,0.061,0.188,0.021,0.267,0.169,0.238,0.253,-0.016,0.35,0.034
Cardiac_dysrhythmias,-0.048,-0.032,0.068,0.984,-0.012,-0.042,-0.02,-0.02,0.082,-0.014,-0.055,0.028
Depression_and_Mood_disorders,0.408,-0.043,0.17,0.133,0.162,0.239,-0.029,0.021,-0.033,0.076,0.087,0.024
Alcohol-related_disorders,0.223,-0.045,0.488,-0.075,0.224,0.056,0.247,-0.081,-0.062,-0.085,-0.173,-0.059
Atopic_dermatitis,-0.058,-0.062,0.057,-0.017,0.033,0.04,-0.018,0.003,0.046,1.001,0.071,0.009
Neuropathy_and_other_nervous_system_disorders,0.461,-0.064,0.073,0.066,0.067,0.098,-0.216,0.198,-0.068,-0.212,-0.03,-0.176
Osteoarthritis,0.263,-0.07,-0.065,0.334,0.035,-0.139,0.054,0.292,0.091,-0.057,0.092,0.032
Adictions,-0.032,-0.1,0.01,-0.026,0.948,0.035,0.018,-0.001,-0.077,0.064,0.034,0.1
Thyroid_disorders,0.396,-0.103,-0.1,0.081,-0.177,0.301,0.194,0.1,-0.198,0.128,0.142,-0.159
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.465,-0.113,0.22,-0.204,-0.09,-0.04,0.065,-0.031,0.389,0.069,0.028,-0.196
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.512,-0.136,0.056,-0.148,0.098,0.056,0.112,-0.055,-0.019,-0.221,0.12,0.155
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.166,-0.164,0.149,0.246,0.078,-0.012,-0.13,0.223,0.024,0.055,0.132,-0.062
