"",ML14,ML8,ML12,ML11,ML6,ML10,ML13,ML7,ML9,ML2,ML4,ML3,ML1,ML5
Cardiac_dysrhythmias,-0.038,0.988,0.067,-0.024,-0.091,-0.009,-0.044,-0.024,-0.036,-0.017,-0.011,0.097,0.026,-0.059
Osteoarthritis,0.065,0.383,-0.122,-0.036,0.344,0.056,-0.126,0.026,0.031,0.286,-0.08,-0.017,0.085,0.071
Hypertension,0.063,0.309,-0.113,0.565,-0.031,-0.076,0.065,0.098,0.022,-0.026,-0.012,-0.132,-0.108,0.085
Obesity,-0.042,0.244,-0.131,0.366,0.165,0.164,0.018,0.273,0.11,-0.079,0.171,-0.039,0.006,0.077
Headache__including_migraine,0.281,0.236,-0.137,0.166,0.066,0.139,0.005,0.016,0.224,-0.082,0.118,0.065,0.074,-0.087
Osteoporosis,-0.027,0.207,0.039,-0.003,0.135,0.022,0.279,0.171,0.016,0.231,-0.027,0.209,0.052,0.343
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.39,0.201,0.192,-0.169,-0.164,0.047,-0.014,-0.102,-0.051,0.206,0.074,0.088,-0.1,0.131
Disorders_of_lipid_metabolism,0.298,0.194,-0.12,0.059,0.16,-0.192,0.121,0.251,0.137,-0.027,0.024,-0.005,0.04,0.092
Esophageal_disorders,0.031,0.193,0.295,-0.082,0.09,-0.17,0.105,0.066,0.381,-0.296,0.052,-0.003,0.189,0.133
Diabetes,0.229,0.183,0.066,0.195,0.031,0.068,-0.155,0.26,0.062,0.029,-0.166,-0.234,-0.053,0.122
Urinary_incontinence,0.168,0.155,-0.022,0.21,0.3,0.256,0.034,-0.13,0.019,0.087,0.028,-0.031,0.083,-0.087
Depression_and_Mood_disorders,0.307,0.145,0.142,-0.045,0.158,0.158,0.26,-0.024,0.017,0.008,0.066,-0.081,0.043,0.083
Miscellaneous_mental_health_disorders,0.362,0.117,-0.068,0.25,-0.022,0.081,-0.363,0.063,0.038,0.058,0.22,-0.081,-0.005,-0.346
Acquired_foot_deformities,0.052,0.116,-0.109,0.027,0.138,-0.061,-0.003,0.049,0.03,-0.004,0.057,0.923,0.043,-0.071
Hepatic_steatosis_and_other_liver_diseases,-0.02,0.107,0.874,0.181,0.095,0.059,0.053,-0.028,-0.1,0.038,0.099,-0.152,0.101,-0.018
Hepatitis,0.126,0.107,0.261,0.093,-0.059,0.479,0.176,-0.085,0.004,-0.13,-0.14,0.263,-0.155,0.122
Thyroid_disorders,0.186,0.107,-0.129,-0.129,0.149,-0.18,0.34,0.212,0.078,0.083,0.105,-0.257,-0.137,0.148
Neuropathy_and_other_nervous_system_disorders,0.368,0.077,0.065,-0.075,0.148,0.058,0.128,-0.198,0.074,0.173,-0.218,-0.108,-0.163,-0.032
Anxiety_disorders,0.39,0.059,0.033,0.044,0.119,0.181,0.086,0.003,0.123,0.063,-0.002,-0.08,0.144,0.033
Menstrual_disorders,0.285,0.049,-0.043,0.072,0.131,-0.111,-0.109,-0.165,0.163,0.119,0.166,-0.054,0.381,-0.081
Epilepsy__convulsions,0.004,0.023,0.032,0.018,-0.066,0.092,0.057,0.078,-0.027,-0.062,-0.002,0.036,0.923,0.001
Menopausal_disorders,0.411,0.001,-0.264,0.143,0.13,0.056,-0.037,0.075,-0.062,0.04,-0.058,0.043,-0.188,0.126
Glaucoma,0.015,-0.018,0.033,0.044,-0.007,-0.018,0.052,0.089,0.099,0.948,0.001,-0.012,-0.052,-0.051
Adictions,-0.04,-0.021,0.004,-0.098,-0.015,0.949,0.035,0.01,0.002,-0.002,0.063,-0.072,0.107,0.035
Atopic_dermatitis,-0.012,-0.022,0.055,-0.06,0.001,0.035,0.042,-0.013,0.004,0.005,0.996,0.047,0.005,0.07
Cataract,-0.034,-0.031,0.001,0.025,-0.02,-0.008,-0.042,0.975,-0.103,0.086,-0.01,0.045,0.065,-0.033
Asthma,0.079,-0.034,-0.16,0.31,0.088,0.196,0.261,0.112,0.175,-0.122,0.081,0.03,-0.099,-0.115
Allergic_rhinitis,-0.042,-0.047,-0.053,0.03,-0.023,0.007,-0.066,-0.1,0.976,0.1,0.008,0.023,-0.023,0.002
Neoplasms,0.042,-0.059,-0.034,0.102,-0.008,0.049,-0.132,-0.038,0.008,-0.055,0.083,-0.073,-0.006,0.95
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.013,-0.065,0.021,0.11,-0.038,0.084,0.915,-0.044,-0.081,0.063,0.039,-0.002,0.081,-0.154
Alcohol-related_disorders,0.15,-0.069,0.506,-0.128,-0.027,0.187,0.13,0.323,0.282,-0.141,-0.11,-0.069,-0.052,-0.142
Adjustment_disorders,0.278,-0.082,0.088,0.055,0.123,-0.01,-0.103,0.109,0.054,-0.251,0.289,-0.235,-0.164,-0.178
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.057,-0.085,0.068,-0.027,0.999,-0.028,-0.021,-0.015,-0.008,-0.011,0.018,0.108,-0.058,-0.007
Congestive_heart_failure__nonhypertensive,-0.028,-0.094,0.203,0.866,-0.042,-0.114,0.096,0.034,0.05,0.116,-0.087,0.074,0.082,0.122
Coagulation_and_hemorrhagic_disorders,0.031,-0.096,0.464,0.041,-0.015,0.167,-0.231,0.046,0.088,0.128,-0.017,0.301,0.021,0.04
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.317,-0.121,-0.004,-0.095,0.36,0.116,0.051,0.074,-0.12,-0.037,-0.226,-0.112,0.194,0.104
Nonmalignant_breast_conditions,0.275,-0.146,-0.095,0.019,0.12,-0.064,-0.007,-0.143,0.032,-0.028,-0.056,0.048,0.198,-0.05
Vision_defects,0.617,-0.147,0.051,-0.036,-0.187,-0.076,0.05,-0.016,0.015,0.021,0.034,0.196,0.098,0.104
