"",ML15,ML13,ML8,ML9,ML14,ML7,ML11,ML6,ML3,ML5,ML2,ML12,ML1,ML4,ML10
Cardiac_dysrhythmias,-0.021,0.988,0.07,-0.01,-0.027,-0.092,-0.041,-0.026,-0.035,-0.063,-0.022,-0.031,0.025,0.084,-0.008
Osteoarthritis,0.005,0.399,-0.145,0.045,-0.046,0.32,-0.1,0.005,0.024,0.093,0.314,0.145,0.112,-0.001,-0.118
Hypertension,0.073,0.315,-0.116,-0.082,0.546,-0.045,0.084,0.085,0.015,0.109,-0.007,0.151,-0.089,-0.111,-0.042
Obesity,-0.012,0.247,-0.131,0.165,0.356,0.159,0.024,0.267,0.107,0.087,-0.071,0.088,0.012,-0.036,0.156
Headache__including_migraine,0.343,0.216,-0.112,0.138,0.144,0.064,0.015,0.025,0.228,-0.071,-0.087,0.001,0.067,0.075,0.129
Osteoporosis,-0.086,0.214,0.025,0.014,0.004,0.129,0.283,0.164,0.01,0.338,0.23,-0.029,0.06,0.204,-0.034
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.316,0.194,0.193,0.04,-0.19,-0.176,0.011,-0.106,-0.05,0.161,0.223,0.063,-0.088,0.126,0.06
Disorders_of_lipid_metabolism,0.25,0.191,-0.115,-0.198,0.034,0.14,0.146,0.238,0.131,0.125,-0.002,0.159,0.059,0.029,-0.006
Esophageal_disorders,0.077,0.169,0.327,-0.161,-0.079,0.1,0.088,0.082,0.385,0.118,-0.32,-0.113,0.165,-0.015,0.086
Urinary_incontinence,0.134,0.163,-0.026,0.255,0.193,0.287,0.055,-0.137,0.021,-0.062,0.109,0.111,0.098,-0.014,0.006
Diabetes,0.344,0.15,0.104,0.069,0.176,0.033,-0.155,0.278,0.067,0.128,0.007,-0.085,-0.075,-0.226,-0.13
Depression_and_Mood_disorders,0.255,0.139,0.148,0.153,-0.067,0.137,0.284,-0.034,0.01,0.114,0.033,0.146,0.061,-0.039,0.037
Acquired_foot_deformities,0.025,0.121,-0.131,-0.069,0.032,0.151,-0.005,0.055,0.034,-0.085,-0.02,-0.125,0.04,0.894,0.076
Hepatitis,0.121,0.1,0.253,0.473,0.085,-0.064,0.182,-0.087,-0.003,0.127,-0.13,0.004,-0.15,0.282,-0.14
Hepatic_steatosis_and_other_liver_diseases,-0.008,0.097,0.884,0.065,0.182,0.092,0.047,-0.024,-0.1,-0.021,0.038,0.007,0.094,-0.134,0.101
Thyroid_disorders,0.187,0.092,-0.097,-0.176,-0.14,0.143,0.345,0.217,0.081,0.159,0.082,0.016,-0.141,-0.244,0.108
Miscellaneous_mental_health_disorders,0.502,0.086,-0.036,0.078,0.217,-0.028,-0.347,0.074,0.04,-0.32,0.056,0.048,-0.013,-0.054,0.229
Anxiety_disorders,0.292,0.064,0.023,0.172,0.013,0.089,0.125,-0.019,0.115,0.082,0.107,0.243,0.178,-0.024,-0.052
Neuropathy_and_other_nervous_system_disorders,0.411,0.05,0.096,0.056,-0.094,0.143,0.138,-0.185,0.079,-0.019,0.163,-0.056,-0.173,-0.088,-0.195
Menstrual_disorders,0.261,0.045,-0.036,-0.115,0.053,0.119,-0.088,-0.169,0.164,-0.054,0.137,0.091,0.391,-0.034,0.148
