"",ML1,ML2
Hepatic_steatosis_and_other_liver_diseases,0.008,0.77
Adictions,-0.121,0.651
Alcohol-related_disorders,0.017,0.639
Hepatitis,0.027,0.537
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.047,0.506
Epilepsy__convulsions,-0.023,0.485
Depression_and_Mood_disorders,0.299,0.406
Coagulation_and_hemorrhagic_disorders,0.006,0.361
Anxiety_disorders,0.398,0.332
Esophageal_disorders,0.244,0.268
Urinary_incontinence,0.403,0.247
Congestive_heart_failure__nonhypertensive,0.357,0.212
Asthma,0.264,0.208
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.211,0.196
Osteoporosis,0.308,0.141
Obesity,0.488,0.132
Atopic_dermatitis,0.103,0.126
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.235,0.103
Adjustment_disorders,0.213,0.096
Cataract,0.257,0.085
Menstrual_disorders,0.341,0.076
Vision_defects,0.306,0.073
Neuropathy_and_other_nervous_system_disorders,0.271,0.063
Headache__including_migraine,0.522,0.056
Diabetes,0.499,0.051
Cardiac_dysrhythmias,0.351,0.05
Nonmalignant_breast_conditions,0.165,-0.027
Neoplasms,0.149,-0.035
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.332,-0.047
Hypertension,0.522,-0.061
Thyroid_disorders,0.397,-0.075
Miscellaneous_mental_health_disorders,0.459,-0.082
Glaucoma,0.329,-0.091
Allergic_rhinitis,0.337,-0.095
Disorders_of_lipid_metabolism,0.598,-0.131
Osteoarthritis,0.464,-0.137
Acquired_foot_deformities,0.231,-0.162
Menopausal_disorders,0.46,-0.207
