"",ML3,ML2,ML1,ML4
Hepatic_steatosis_and_other_liver_diseases,-0.016,0.715,0.314,-0.129
Adictions,0.057,0.703,-0.275,-0.051
Alcohol-related_disorders,-0.014,0.658,-0.033,0.119
Hepatitis,-0.013,0.544,0.049,0.081
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.218,0.506,0.212,0.144
Depression_and_Mood_disorders,0.264,0.443,-0.057,0.213
Epilepsy__convulsions,0.126,0.427,0.127,-0.318
Anxiety_disorders,0.34,0.353,0.011,0.221
Coagulation_and_hemorrhagic_disorders,-0.009,0.337,0.152,-0.039
Urinary_incontinence,0.305,0.261,0.072,0.222
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.132,0.253,-0.111,0.27
Esophageal_disorders,0.343,0.235,0.014,-0.115
Asthma,0.155,0.197,0.182,0.149
Neuropathy_and_other_nervous_system_disorders,0.009,0.166,-0.084,0.596
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.208,0.134,-0.101,0.149
Osteoporosis,0.102,0.119,0.242,0.16
Adjustment_disorders,0.369,0.103,-0.165,-0.044
Atopic_dermatitis,0.439,0.101,-0.173,-0.354
Vision_defects,0.221,0.092,0.013,0.183
Menstrual_disorders,0.36,0.069,0.038,0.067
Congestive_heart_failure__nonhypertensive,0.006,0.061,0.987,0
Obesity,0.522,0.056,0.266,-0.098
Headache__including_migraine,0.574,0.051,0.023,0.073
Cataract,0.17,0.034,0.216,-0.016
Diabetes,0.337,0.03,0.203,0.171
Cardiac_dysrhythmias,0.452,0.018,-0.04,-0.094
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.234,0.01,-0.096,0.288
Nonmalignant_breast_conditions,0.094,0.005,-0.033,0.178
Thyroid_disorders,0.287,-0.046,-0.049,0.252
Neoplasms,0.124,-0.074,0.214,-0.067
Glaucoma,-0.072,-0.089,0.358,0.441
Miscellaneous_mental_health_disorders,0.504,-0.09,0.016,0.059
Osteoarthritis,0.304,-0.092,-0.004,0.354
Allergic_rhinitis,0.248,-0.101,0.111,0.168
Disorders_of_lipid_metabolism,0.458,-0.132,0.115,0.199
Menopausal_disorders,0.262,-0.161,0.038,0.41
Hypertension,0.378,-0.17,0.512,-0.019
Acquired_foot_deformities,0.21,-0.184,0.069,0.01
