"",ML5,ML4,ML2,ML1,ML6,ML3
Hepatic_steatosis_and_other_liver_diseases,-0.136,0.753,0.284,0.137,0.061,-0.17
Alcohol-related_disorders,0.162,0.646,-0.055,-0.056,-0.011,-0.082
Adictions,0.073,0.633,-0.278,-0.01,0.111,-0.105
Hepatitis,0.08,0.546,0.005,0.102,-0.113,0.146
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.042,0.504,0.167,-0.137,-0.168,0.067
Epilepsy__convulsions,-0.187,0.455,0.112,0.073,0.135,0.187
Depression_and_Mood_disorders,0.355,0.399,-0.038,0.082,0.118,-0.027
Coagulation_and_hemorrhagic_disorders,-0.079,0.396,0.125,-0.06,0.085,0.255
Anxiety_disorders,0.421,0.3,0.049,0.018,0.163,-0.007
Esophageal_disorders,0.088,0.244,0.04,0.141,0.234,0.053
Urinary_incontinence,0.367,0.24,0.092,0.102,0.084,0.07
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.44,0.239,-0.105,-0.169,-0.058,-0.01
Osteoporosis,0.184,0.178,0.208,0.129,-0.156,0.261
Asthma,0.219,0.153,0.21,-0.087,0.137,0.072
Neuropathy_and_other_nervous_system_disorders,0.499,0.141,-0.094,0.024,-0.228,-0.078
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.202,0.137,-0.098,0.214,0.019,0.016
Congestive_heart_failure__nonhypertensive,-0.033,0.094,0.994,-0.09,-0.039,0.052
Vision_defects,0.313,0.082,0.04,-0.123,0.102,0.157
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.432,0.061,-0.084,-0.235,0.093,0.344
Cataract,0.14,0.059,0.22,0.01,-0.036,0.078
Atopic_dermatitis,-0.13,0.052,-0.08,-0.043,0.74,0.081
Cardiac_dysrhythmias,-0.02,0.048,-0.064,0.99,-0.011,0.085
Menstrual_disorders,0.208,0.04,0.092,0.031,0.312,0.098
Adjustment_disorders,0.209,0.017,-0.075,-0.086,0.474,-0.231
Headache__including_migraine,0.328,0.015,0.091,0.202,0.323,0.118
Obesity,0.189,0.014,0.336,0.189,0.332,0.011
Nonmalignant_breast_conditions,0.235,0.008,-0.02,-0.157,0.012,0.124
Diabetes,0.402,0,0.24,0.187,-0.056,-0.258
Glaucoma,0.275,-0.054,0.341,-0.047,-0.249,0.083
Acquired_foot_deformities,0.004,-0.061,0.026,0.097,0.017,0.969
Osteoarthritis,0.416,-0.078,-0.002,0.321,-0.103,0.113
Thyroid_disorders,0.441,-0.091,-0.001,0.003,0.066,-0.18
Neoplasms,0.064,-0.11,0.261,-0.115,0.138,-0.177
Allergic_rhinitis,0.239,-0.132,0.167,-0.124,0.224,0.104
Disorders_of_lipid_metabolism,0.426,-0.135,0.162,0.136,0.114,0.076
Miscellaneous_mental_health_disorders,0.271,-0.147,0.097,0.178,0.327,-0.062
Menopausal_disorders,0.518,-0.195,0.078,-0.038,-0.009,0.037
Hypertension,0.172,-0.209,0.567,0.284,0.081,-0.164
