"",ML11,ML8,ML1,ML7,ML3,ML10,ML4,ML6,ML2,ML5,ML9
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.052,0.981,0.042,-0.014,-0.046,-0.053,-0.09,-0.016,0.093,0.028,0.057
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.198,0.378,-0.042,0.176,-0.013,0.092,0.051,-0.174,-0.113,0.141,-0.09
Adjustment_disorders,-0.009,0.302,0.069,-0.001,0.212,0.017,0.272,0.094,-0.35,-0.171,-0.164
Osteoarthritis,0.15,0.289,-0.055,0.023,-0.062,-0.192,0.147,0.005,0.155,0.303,-0.038
Urinary_incontinence,0.134,0.259,0.064,0.226,0.088,0.073,0.163,0.042,0.045,0.026,0.051
Thyroid_disorders,0.296,0.224,-0.186,-0.143,0.011,0.28,0.114,0.07,-0.345,-0.042,0.185
Disorders_of_lipid_metabolism,0.289,0.208,-0.065,-0.181,0.214,0.146,0.203,0.083,-0.019,0.016,0.117
Depression_and_Mood_disorders,0.258,0.181,0.166,0.198,0.168,0.282,0.085,-0.003,-0.019,0.059,-0.098
Obesity,0.439,0.134,0.049,0.122,0.234,0.057,-0.105,0.062,0.082,-0.063,0.022
Anxiety_disorders,0.256,0.132,0.074,0.23,0.108,0.13,0.181,0.106,-0.005,0.078,-0.093
Asthma,0.074,0.132,-0.086,0.14,0.06,0.329,0.089,0.201,-0.035,-0.012,0.036
Menopausal_disorders,0.219,0.127,-0.304,0.038,0.136,-0.082,0.089,-0.057,-0.024,0.217,0.148
Acquired_foot_deformities,0.008,0.123,-0.082,-0.057,0.022,0.029,0.089,0.039,0.927,-0.059,0.077
Menstrual_disorders,0.145,0.103,0.077,-0.03,0.067,-0.026,0.121,0.182,0.114,0.141,-0.147
Esophageal_disorders,0.324,0.075,0.362,-0.06,-0.267,-0.043,0.044,0.298,0.098,0.049,-0.075
Headache__including_migraine,0.326,0.049,-0.031,0.16,0.265,0.077,0.093,0.186,0.192,0.105,-0.109
Alcohol-related_disorders,-0.226,0.041,0.478,0.16,0.03,0.149,0.129,0.248,-0.155,0.075,0.043
Hepatic_steatosis_and_other_liver_diseases,0.03,0.036,0.975,0.006,0.02,0.015,0,-0.073,-0.051,-0.007,0.044
Osteoporosis,-0.034,0.035,0.035,0.002,0.034,0.043,0.018,0.016,0.051,-0.013,0.982
Neuropathy_and_other_nervous_system_disorders,-0.051,0.01,-0.005,-0.047,0.048,0.041,0,0.018,-0.04,0.992,-0.013
Adictions,-0.054,0.003,-0.006,0.995,0.024,0.032,-0.001,-0.003,-0.052,-0.047,0
Neoplasms,0.358,-0.007,-0.045,0.146,-0.343,-0.511,0.059,0.022,-0.176,0.044,0.212
Diabetes,0.41,-0.021,0.107,0.017,0.123,-0.21,0.096,0.003,-0.195,0.083,0.182
Allergic_rhinitis,-0.019,-0.034,-0.044,-0.004,0,-0.033,-0.032,1.001,0.014,0.016,0.017
Miscellaneous_mental_health_disorders,0.052,-0.043,0.011,0.027,0.974,-0.107,-0.014,0.02,0.004,0.07,0.028
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.059,-0.074,0.068,0.103,-0.182,0.894,-0.007,-0.071,0.004,0.082,0.112
Vision_defects,-0.042,-0.08,0.006,-0.005,-0.03,-0.019,1.009,-0.03,0.057,0.007,0.018
Hypertension,0.648,-0.115,0.078,-0.179,0.151,0.075,-0.013,0.013,-0.011,-0.11,0.055
Hepatitis,0.15,-0.136,0.251,0.448,-0.025,0.051,-0.043,-0.023,0.278,0.116,0.076
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.181,-0.188,0.136,0.089,0.099,-0.105,0.063,-0.008,0.132,0.034,0.128
