"",ML9,ML10,ML13,ML5,ML8,ML1,ML3,ML6,ML4,ML11,ML2,ML7,ML12
Adictions,-0.016,0.996,-0.033,-0.061,0.025,0.028,0.004,0.003,-0.06,-0.057,-0.004,0.019,-0.009
Hepatitis,0.253,0.462,-0.019,0.031,-0.004,0.041,-0.134,-0.027,0.039,0.259,-0.004,0.042,0.11
Urinary_incontinence,0.064,0.241,0.117,0.168,0.061,0.078,0.184,0.043,-0.008,0.069,0.076,0.164,0.079
Anxiety_disorders,0.1,0.22,0.317,0.061,0.083,0.077,0.02,0.08,0.113,0.094,0.189,0.027,-0.058
Depression_and_Mood_disorders,0.201,0.18,0.257,0.049,0.163,0.247,0.087,-0.015,0.081,0.006,0.084,0.107,-0.025
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.017,0.175,0.41,0.119,0.014,0.032,0.373,-0.168,0.1,-0.082,-0.108,-0.087,-0.131
Headache__including_migraine,0.005,0.17,0.243,0.128,0.278,0.032,0.003,0.167,0.167,0.251,-0.008,0.027,-0.178
Obesity,0.059,0.162,-0.006,0.272,0.218,-0.018,0.127,0.033,0.206,0.143,0.07,-0.029,-0.015
Alcohol-related_disorders,0.471,0.148,0.049,-0.127,0.014,0.177,0.009,0.252,-0.085,-0.122,0.143,-0.043,0.069
Neoplasms,-0.02,0.14,0.24,0.141,-0.309,-0.566,0,0.034,0.045,-0.152,-0.036,-0.042,0.254
Asthma,-0.09,0.136,0.203,0.068,0.039,0.288,0.132,0.2,0.007,0.018,0.066,-0.156,0.065
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.078,0.125,0.072,0.085,-0.2,0.867,-0.052,-0.066,0.112,0.014,-0.02,-0.079,0.108
Diabetes,0.142,0.06,0.121,0.321,0.156,-0.253,-0.021,0.023,0.171,-0.184,-0.115,0.064,0.189
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.181,0.057,0.176,-0.066,0.085,-0.133,-0.283,-0.042,0.083,0.173,0.064,0.124,0.143
Osteoarthritis,0.002,0.03,-0.01,0.085,-0.06,-0.048,0.057,0.021,0.05,0.038,0.001,0.969,-0.024
Miscellaneous_mental_health_disorders,0.024,0.029,0.021,0.057,0.976,-0.091,-0.027,0.021,0.03,0.017,0.031,-0.046,0.009
Osteoporosis,0.088,0.013,-0.04,0.037,0.006,0.064,0.085,0.032,0.105,0.128,-0.087,-0.037,0.755
Hepatic_steatosis_and_other_liver_diseases,0.987,0.009,-0.046,0.006,0.032,0.024,0.028,-0.077,-0.047,-0.061,0.009,0.012,0.037
Allergic_rhinitis,-0.053,0.001,-0.043,-0.006,0.009,-0.026,-0.02,0.999,0.003,0,0.013,0.024,0.017
Vision_defects,0.056,-0.002,0.323,-0.071,-0.064,-0.052,-0.366,-0.031,0.135,0.299,0.283,0.133,0.139
Adjustment_disorders,0.008,-0.006,-0.02,0.036,0.015,0.003,0.063,0.016,-0.01,-0.074,0.976,-0.006,-0.037
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.046,-0.017,0.006,-0.071,-0.034,-0.049,0.922,-0.011,0.051,0.109,0.096,0.101,0.068
Menopausal_disorders,-0.264,-0.023,0.492,-0.016,0.116,-0.079,0.048,-0.061,-0.012,0.016,0.154,0.071,0.196
Menstrual_disorders,0.109,-0.033,0.285,-0.014,0.07,-0.074,0.033,0.151,0.169,0.215,0.07,-0.041,-0.232
Esophageal_disorders,0.376,-0.035,0.232,0.187,-0.238,-0.127,0.099,0.281,0.132,0.161,-0.075,-0.174,-0.156
Thyroid_disorders,-0.054,-0.056,-0.048,-0.042,0.027,0.054,0.027,0.005,0.996,-0.078,-0.006,0.042,0.031
Hypertension,-0.009,-0.058,-0.041,0.993,0.039,0.046,-0.049,-0.003,-0.04,-0.013,0.039,0.076,0.01
Acquired_foot_deformities,-0.095,-0.064,-0.027,-0.015,0.033,0.049,0.117,0.031,-0.12,0.897,-0.114,0.059,0.083
Neuropathy_and_other_nervous_system_disorders,0.062,-0.091,0.488,-0.158,0.185,0.24,0.05,0.123,-0.1,-0.227,-0.136,0.317,0.012
Disorders_of_lipid_metabolism,-0.064,-0.177,0.227,0.239,0.203,0.11,0.17,0.101,-0.001,0.009,0.107,-0.037,0.301
