"",ML3,ML2,ML1
Hepatic_steatosis_and_other_liver_diseases,0.011,0.695,-0.126
Adictions,-0.064,0.655,-0.109
Alcohol-related_disorders,0.051,0.65,-0.105
Hepatitis,-0.031,0.637,0.21
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.128,0.591,0.083
Depression_and_Mood_disorders,0.325,0.424,-0.006
Anxiety_disorders,0.431,0.331,0.002
Urinary_incontinence,0.385,0.275,0.105
Asthma,0.228,0.258,0.067
Esophageal_disorders,0.269,0.222,0.068
Osteoporosis,0.192,0.2,0.294
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.291,0.173,-0.082
Neuropathy_and_other_nervous_system_disorders,0.295,0.137,-0.075
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.222,0.129,0.073
Vision_defects,0.312,0.102,0.14
Obesity,0.459,0.101,0.069
Headache__including_migraine,0.505,0.06,0.16
Menstrual_disorders,0.353,0.05,0.103
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.321,0.024,0.301
Adjustment_disorders,0.353,0.023,-0.279
Diabetes,0.529,0.02,-0.222
Acquired_foot_deformities,0.008,-0.033,0.993
Thyroid_disorders,0.438,-0.062,-0.197
Allergic_rhinitis,0.338,-0.067,0.105
Hypertension,0.479,-0.076,-0.061
Osteoarthritis,0.401,-0.087,0.166
Miscellaneous_mental_health_disorders,0.478,-0.097,-0.02
Neoplasms,0.219,-0.107,-0.209
Disorders_of_lipid_metabolism,0.583,-0.136,0.077
Menopausal_disorders,0.464,-0.152,0.024
