"",ML3,ML4,ML5,ML1,ML2
Miscellaneous_mental_health_disorders,-0.072,0.663,0.054,-0.083,0.023
Headache__including_migraine,0.093,0.54,0.121,0.005,0.183
Menstrual_disorders,0.08,0.426,-0.024,0.082,0.102
Allergic_rhinitis,-0.042,0.4,0.052,-0.024,0.13
Adjustment_disorders,0.044,0.38,-0.027,0.21,-0.315
Anxiety_disorders,0.36,0.363,0.133,0.077,-0.002
Neuropathy_and_other_nervous_system_disorders,0.165,0.287,-0.002,0.139,-0.095
Obesity,0.112,0.281,0.265,0.111,0.058
Menopausal_disorders,-0.117,0.268,0.233,0.121,0.02
Depression_and_Mood_disorders,0.44,0.23,0.089,0.145,-0.034
Vision_defects,0.135,0.216,0.273,-0.224,0.21
Disorders_of_lipid_metabolism,-0.126,0.211,0.499,0.153,0.063
Asthma,0.28,0.197,0.028,0.091,0.054
Urinary_incontinence,0.287,0.194,0.178,0.211,0.065
Osteoarthritis,-0.083,0.181,0.188,0.294,0.112
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.148,0.162,0.226,-0.2,0.13
Hypertension,-0.069,0.145,0.574,-0.139,-0.01
Alcohol-related_disorders,0.665,0.14,-0.109,0.037,-0.122
Diabetes,0.022,0.101,0.645,-0.03,-0.2
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.183,0.097,0.068,0.364,-0.161
Adictions,0.662,0.055,-0.133,-0.036,-0.114
Esophageal_disorders,0.224,0.054,0.23,0.095,0.051
Acquired_foot_deformities,-0.051,0.045,-0.042,0.084,0.975
Thyroid_disorders,-0.042,0.018,0.426,0.196,-0.227
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.011,-0.024,-0.01,0.988,0.067
Hepatitis,0.63,-0.042,0.076,-0.122,0.226
Hepatic_steatosis_and_other_liver_diseases,0.681,-0.08,0.063,0.077,-0.162
Neoplasms,-0.111,-0.173,0.42,0.042,-0.213
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.605,-0.214,0.029,-0.075,0.088
Osteoporosis,0.195,-0.301,0.516,0.099,0.27
