"",ML6,ML7,ML5,ML1,ML3,ML2,ML4
Adictions,-0.339,0.607,0.151,0.162,-0.034,-0.116,0.109
Anxiety_disorders,0.19,0.472,0.066,0.088,0.083,-0.004,0.054
Depression_and_Mood_disorders,0.117,0.411,0.151,0.242,0.14,-0.025,0.098
Headache__including_migraine,0.316,0.403,-0.024,-0.042,0.013,0.178,-0.049
Hepatitis,-0.135,0.395,0.309,0.164,-0.126,0.256,0.182
Miscellaneous_mental_health_disorders,0.382,0.381,0.021,-0.424,-0.071,0.004,-0.332
Neuropathy_and_other_nervous_system_disorders,0.08,0.343,-0.073,0.1,0.146,-0.119,-0.04
Asthma,0.091,0.34,-0.107,0.265,0.103,0.007,-0.043
Alcohol-related_disorders,-0.067,0.324,0.455,0.065,0.04,-0.124,-0.17
Menopausal_disorders,0.216,0.324,-0.319,-0.028,0.131,0.007,0.138
Urinary_incontinence,0.186,0.296,0.104,0.069,0.222,0.057,-0.037
Menstrual_disorders,0.15,0.288,0.026,-0.132,0.085,0.104,-0.05
Allergic_rhinitis,0.18,0.264,-0.095,-0.225,-0.018,0.132,0.02
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.03,0.251,-0.036,0.153,0.365,-0.164,0.101
Adjustment_disorders,0.171,0.224,0.034,-0.149,0.214,-0.323,-0.132
Vision_defects,0.286,0.223,0.007,0.047,-0.218,0.219,0.111
Obesity,0.343,0.211,0.081,0.017,0.108,0.084,0.116
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.205,0.177,0.157,-0.066,-0.201,0.164,0.097
Osteoarthritis,0.18,0.133,-0.04,-0.145,0.304,0.121,0.002
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.038,0.077,0.067,0.948,-0.06,0.002,-0.162
Diabetes,0.553,0.045,0.173,-0.145,-0.018,-0.164,0.072
Neoplasms,0.043,0.043,-0.017,-0.128,-0.005,-0.057,0.976
Esophageal_disorders,0.211,0.004,0.357,-0.027,0.087,0.108,0.11
Thyroid_disorders,0.428,0.003,-0.193,0.306,0.208,-0.257,0.069
Acquired_foot_deformities,-0.009,0,-0.068,-0.009,0.093,0.96,-0.065
Disorders_of_lipid_metabolism,0.617,-0.009,-0.062,0.11,0.159,0.063,0.036
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.036,-0.013,0.052,-0.046,0.988,0.079,-0.005
Hepatic_steatosis_and_other_liver_diseases,0.039,-0.026,0.991,0.019,0.048,-0.053,-0.006
Osteoporosis,0.271,-0.084,0.131,0.318,0.097,0.303,0.281
Hypertension,0.651,-0.091,0.103,0.057,-0.141,0.021,0.107
