"",ML8,ML7,ML3,ML6,ML1,ML2,ML5,ML4
Neoplasms,0.044,0.59,-0.306,-0.395,-0.027,0.016,0.146,-0.121
Diabetes,0.08,0.549,0.174,-0.105,0.12,-0.013,0.011,-0.151
Hypertension,0.053,0.509,0.214,0.113,0.1,-0.129,-0.21,0.002
Osteoporosis,-0.138,0.491,-0.014,0.241,0.101,0.115,0.016,0.295
Disorders_of_lipid_metabolism,0.116,0.389,0.262,0.194,-0.063,0.174,-0.183,0.039
Thyroid_disorders,0.142,0.344,0.029,0.345,-0.177,0.198,-0.166,-0.283
Obesity,0.125,0.257,0.268,0.063,0.057,0.13,0.09,0.066
Menopausal_disorders,0.212,0.249,0.145,0.023,-0.3,0.137,0.03,-0.022
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.17,0.217,0.082,-0.054,0.138,-0.199,0.078,0.153
Vision_defects,0.404,0.214,-0.039,0.058,0.001,-0.235,0.016,0.187
Osteoarthritis,0.149,0.178,0.008,-0.124,-0.061,0.303,0.037,0.125
Hepatitis,0.017,0.159,0.013,0.097,0.255,-0.106,0.448,0.268
Esophageal_disorders,0.424,0.137,-0.238,-0.06,0.344,0.047,-0.091,0.075
Urinary_incontinence,0.19,0.135,0.101,0.102,0.061,0.229,0.217,0.065
Depression_and_Mood_disorders,0.143,0.111,0.219,0.293,0.159,0.156,0.181,-0.052
Anxiety_disorders,0.393,0.103,0.124,0.142,0.055,0.08,0.202,-0.03
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.075,0.095,0.024,0.147,-0.043,0.375,0.167,-0.172
Headache__including_migraine,0.36,0.09,0.31,0.067,-0.045,0.021,0.133,0.156
Hepatic_steatosis_and_other_liver_diseases,-0.026,0.027,0.026,0.025,0.98,0.041,0.008,-0.054
Miscellaneous_mental_health_disorders,0.002,0.002,0.991,-0.116,0.015,-0.031,0.028,0.003
Adictions,-0.01,-0.021,0.027,0.035,-0.007,0.008,0.988,-0.049
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.032,-0.024,-0.148,0.938,0.077,-0.061,0.092,0.012
Asthma,0.295,-0.025,0.051,0.317,-0.099,0.096,0.114,-0.015
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.026,-0.026,-0.035,-0.051,0.042,0.993,-0.007,0.078
Acquired_foot_deformities,0.054,-0.028,0.017,0.001,-0.074,0.099,-0.046,0.955
Neuropathy_and_other_nervous_system_disorders,0.251,-0.048,0.178,0.204,-0.027,0.14,-0.012,-0.155
Allergic_rhinitis,0.588,-0.063,0.028,-0.164,-0.093,-0.049,-0.031,0.083
Adjustment_disorders,0.257,-0.081,0.177,-0.039,0.049,0.206,-0.02,-0.338
Menstrual_disorders,0.514,-0.102,0.052,-0.046,0.049,0.058,-0.059,0.059
Alcohol-related_disorders,0.309,-0.201,-0.003,0.126,0.452,0.017,0.153,-0.129
