"",ML10,ML7,ML1,ML11,ML9,ML6,ML2,ML8,ML4,ML5,ML3
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.056,0.956,0.07,0.019,-0.028,0.007,-0.13,0.058,0.094,0.072,-0.011
Diabetes,-0.082,0.413,0.108,0.019,0.365,-0.092,0.273,-0.064,-0.181,0.191,0.042
Myodesopsia_and_other_eye_disorders,0.337,0.398,-0.207,-0.122,0.032,-0.014,0.071,0.072,0.197,-0.115,-0.079
Atopic_dermatitis,0.324,0.337,0.065,-0.275,0.154,-0.021,0.179,-0.024,-0.057,-0.14,-0.047
Vision_defects,0.218,0.256,-0.16,0.005,0.072,0.24,-0.007,0.031,0.156,0.038,0.234
Chronic_kidney_disease,0.021,0.242,0.082,0.265,0.142,-0.025,0.083,-0.093,-0.155,-0.128,-0.009
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.404,0.242,-0.052,0.039,-0.152,0.14,0.219,-0.128,-0.108,0.306,0.066
Cataract,0.01,0.219,-0.02,0.296,0.103,0.391,0.004,-0.06,-0.048,-0.119,-0.053
Anxiety_disorders,0.324,0.208,-0.165,0.021,0.062,0.09,-0.092,0.103,0.142,-0.154,0.003
Osteoarthritis,0.035,0.207,0.042,0.148,0.087,0.239,0.194,-0.158,0.133,0.053,-0.118
Diverticulosis_and_diverticulitis,0.335,0.161,-0.053,0.225,0.28,-0.186,-0.179,0.027,0.079,0.242,-0.071
Cardiac_dysrhythmias,-0.033,0.152,0.108,0.53,-0.048,-0.193,0.228,0.347,-0.08,-0.112,0.22
Esophageal_disorders,0.066,0.149,0.132,-0.116,0.126,0.057,0.089,-0.268,0.264,-0.209,-0.145
Urinary_incontinence,0.157,0.138,0.434,0.126,-0.004,0.143,0.115,-0.071,-0.104,0.087,0.204
Congestive_heart_failure__nonhypertensive,-0.102,0.137,0.364,0.171,-0.011,0.189,0.293,0.266,-0.178,0.01,-0.115
Transient_cerebral_ischemia,0.078,0.122,-0.108,0.184,0.34,0.023,-0.159,-0.059,-0.182,0.242,0.199
Other_nutritional__endocrine__and_metabolic_disorders,0.052,0.116,-0.122,-0.185,0.235,0.267,0.277,-0.114,-0.281,-0.024,0.079
Miscellaneous_mental_health_disorders,0.25,0.112,-0.108,0.241,-0.062,0.177,0.156,-0.244,0.108,-0.158,0.105
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.157,0.094,0.494,0.206,-0.095,0.104,0.081,-0.11,0.011,0.115,0.1
Ischemic_heart_disease,-0.042,0.067,0.04,0.551,0.363,0.009,0.006,0.151,0.037,0.033,-0.184
Acquired_foot_deformities,-0.028,0.062,0.005,-0.026,0.029,-0.004,0.048,0.036,0.988,0.044,0.05
Coagulation_and_hemorrhagic_disorders,0.055,0.052,0.035,0.043,0.018,0.091,0.053,0.954,0.066,-0.01,-0.063
Neuropathy_and_other_nervous_system_disorders,0.128,0.038,0.092,0.202,0.063,-0.171,0.117,-0.401,0.296,-0.005,-0.12
Psoriasis_and_other_inflammatory,-0.011,0.027,0.066,-0.026,-0.046,0.022,0.017,-0.006,0.047,0.985,-0.021
Adjustment_disorders,0.085,0.026,0.007,0.098,0.068,-0.033,0.126,-0.22,0.133,0.013,0.063
Chronic_ulcer_of_skin,0.002,0.024,0.954,-0.036,0.101,-0.03,-0.058,0.055,0.02,0.055,0.005
Menopausal_disorders,0.573,0.009,-0.116,0.057,-0.025,-0.095,0.052,0.042,0.19,0.086,-0.056
Disorders_of_lipid_metabolism,0.163,-0.011,-0.183,0.219,0.199,0.084,0.152,0.007,0.008,0.167,-0.065
Acute_cerebrovascular_disease,-0.016,-0.016,0.007,-0.026,0.074,-0.031,0.002,-0.034,0.041,-0.022,0.984
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.038,-0.024,0.004,-0.049,0.032,0.998,-0.025,0.088,-0.01,0.027,-0.024
Hypertension,-0.003,-0.032,0.093,0.011,0.918,0.072,0.107,0.016,0.054,-0.066,0.108
Allergic_rhinitis,0.47,-0.036,-0.067,-0.152,0.212,-0.085,0.116,-0.023,-0.093,-0.068,-0.31
Osteoporosis,0.063,-0.039,-0.036,0.332,0.047,0.254,-0.163,-0.136,0.138,0.085,-0.091
Asthma,-0.005,-0.039,-0.042,0.099,0.104,0.232,0.122,0.094,0.141,0.22,-0.146
Menstrual_disorders,0.326,-0.04,-0.1,0.24,-0.11,0.031,0.096,0.099,0.072,0.003,-0.165
Heart_valve_disorders,0.084,-0.054,0.119,0.046,-0.01,0.044,0.045,0.307,-0.094,0,0.093
Depression_and_Mood_disorders,0.52,-0.064,0.233,0.288,-0.129,0.197,0.061,-0.088,0.125,-0.235,0.078
Obesity,-0.012,-0.112,-0.032,-0.011,0.076,-0.015,0.985,0.045,0.062,0.014,0.004
Headache__including_migraine,0.205,-0.119,-0.312,0.319,0.136,0.125,0.05,-0.082,0.132,0.204,0.177
Irritable_bowel_and_other_GI_disorders,0.603,-0.13,0.266,-0.172,0.09,-0.099,-0.216,0.284,-0.027,0.05,0.122
Glaucoma,-0.083,-0.211,0.079,0.391,0.291,0.035,-0.155,-0.159,-0.036,-0.075,-0.108
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.451,-0.347,0.079,0.021,0.056,0.051,0.046,-0.024,0.015,0.126,0.045
