"",ML13,ML12,ML3,ML1,ML10,ML9,ML11,ML8,ML7,ML6,ML2,ML5,ML4
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.087,0.812,-0.057,0.005,-0.032,-0.07,-0.085,-0.15,0.004,0.061,0.063,0.043,-0.063
Cataract,-0.026,0.594,0.166,0.007,-0.035,-0.097,0.246,0.064,-0.086,-0.09,0.066,0.047,-0.017
Other_nutritional__endocrine__and_metabolic_disorders,-0.247,0.353,0.082,-0.096,0.295,0.049,-0.301,0.119,0.067,-0.031,0.232,-0.031,0.024
Vision_defects,0.196,0.324,0.256,-0.127,0.01,0.14,-0.001,-0.064,-0.161,0.076,0.106,-0.184,0.267
Osteoporosis,0.233,0.312,-0.061,0.028,-0.154,-0.078,0.12,0.076,0.144,0.064,0.007,-0.067,-0.082
Depression_and_Mood_disorders,0.252,0.276,-0.059,0.196,0.12,0.394,0.13,0.141,0.157,-0.26,-0.223,0.092,0.035
Disorders_of_lipid_metabolism,0.204,0.259,-0.039,-0.143,0.12,-0.036,0.156,0.027,-0.105,0.187,0.193,0.11,-0.024
Headache__including_migraine,0.264,0.25,-0.145,-0.26,0.07,0.053,0.29,0.063,0.077,0.192,0.058,-0.095,0.207
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.144,0.234,0.192,-0.019,0.234,0.126,0.023,0.153,0.028,0.305,-0.177,0.002,0.053
Osteoarthritis,0.141,0.215,0.192,0.087,0.235,-0.026,0.003,0.086,0.201,0.027,0.034,-0.166,-0.137
Miscellaneous_mental_health_disorders,0.244,0.211,0.089,-0.094,0.184,0.096,0.174,0.225,0.029,-0.153,-0.108,-0.085,0.112
Congestive_heart_failure__nonhypertensive,-0.301,0.206,0.125,0.32,0.27,-0.043,0.242,-0.212,-0.114,0.033,-0.024,0.177,-0.102
Urinary_incontinence,0.059,0.199,0.076,0.5,0.119,0.031,0.048,0.044,0.085,0.059,-0.041,-0.076,0.195
Asthma,0.145,0.191,-0.024,-0.038,0.138,0.019,-0.024,-0.091,0.152,0.201,0.07,0.093,-0.175
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.147,0.184,0.036,0.576,0.087,-0.032,0.051,0.065,0.227,0.059,-0.167,-0.059,0.084
Esophageal_disorders,0.266,0.162,0.178,0.107,0.038,-0.027,-0.278,0.285,-0.161,-0.161,0.203,0.163,-0.13
Anxiety_disorders,0.391,0.16,0.189,-0.123,-0.095,0.072,-0.07,-0.08,0.04,-0.152,0.061,0.13,-0.005
Glaucoma,-0.035,0.113,-0.24,0.119,-0.133,-0.051,0.274,0.117,0.238,-0.124,0.182,-0.105,-0.105
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.138,0.101,-0.33,0.015,0.075,0.367,-0.014,0.125,0.121,0.107,-0.002,0.247,-0.007
Hypertension,0.041,0.081,-0.05,0.104,0.116,0.044,0.104,-0.021,0.126,-0.073,0.854,0.018,0.111
Coagulation_and_hemorrhagic_disorders,0.078,0.068,0.082,0.06,0.068,0.127,0.059,-0.902,-0.06,-0.02,0.029,0.14,-0.065
Atopic_dermatitis,-0.079,0.037,0.338,0.015,0.228,0.348,-0.104,0.064,-0.012,-0.128,0.122,-0.114,-0.076
Ischemic_heart_disease,0.104,0.037,0.017,0.076,0.023,-0.043,0.74,-0.174,0.095,0.014,0.221,-0.139,-0.119
Menopausal_disorders,0.43,0.025,0.033,-0.12,0.1,0.386,-0.036,0.017,0.044,0.074,-0.056,0.039,-0.071
Menstrual_disorders,0.514,0.024,-0.092,0.007,0.098,-0.01,0.172,-0.139,-0.046,-0.007,-0.106,-0.107,-0.128
Heart_valve_disorders,0.001,0.02,-0.027,-0.009,-0.03,-0.019,-0.047,-0.069,0.023,0.024,0.009,0.998,0.027
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.032,0.019,0.951,0.073,-0.116,-0.052,0.041,-0.062,0.052,0.089,-0.036,-0.012,-0.008
Psoriasis_and_other_inflammatory,0.008,0.015,0.046,0.058,0.021,0.036,-0.01,0.02,0.061,0.974,-0.046,0.024,-0.024
Chronic_kidney_disease,-0.285,-0.002,0.247,-0.073,0.089,0.201,0.564,0.222,-0.125,-0.078,0.055,0.203,0.013
Adjustment_disorders,0.163,-0.011,0.019,-0.002,0.107,-0.084,0.093,0.226,0.017,0.026,0.057,0.118,0.081
Transient_cerebral_ischemia,-0.072,-0.025,0.05,-0.011,-0.05,-0.028,0.008,0.027,0.965,0.077,0.085,0.025,0.054
Acute_cerebrovascular_disease,0.013,-0.04,-0.018,0.026,0.012,0.041,-0.054,0.035,0.048,-0.032,0.071,0.037,0.968
Obesity,0.002,-0.04,-0.1,-0.03,0.995,-0.066,-0.006,-0.05,-0.047,0.018,0.069,-0.015,0.011
Myodesopsia_and_other_eye_disorders,0.367,-0.044,0.386,-0.161,0.119,0.088,-0.147,-0.088,0.242,-0.144,-0.011,-0.026,-0.119
Diverticulosis_and_diverticulitis,0.228,-0.058,0.172,-0.059,-0.127,0.285,0.183,0.035,0.179,0.213,0.19,0.05,-0.08
Acquired_foot_deformities,0.642,-0.063,0.19,-0.035,0.041,-0.008,-0.057,-0.115,-0.136,0.096,0.097,-0.067,0.124
Chronic_ulcer_of_skin,-0.034,-0.079,0.031,0.927,-0.075,0.115,-0.039,-0.053,-0.063,0.052,0.132,0.038,0.007
Irritable_bowel_and_other_GI_disorders,-0.064,-0.079,-0.047,0.107,-0.103,0.948,0.005,-0.132,-0.046,0.047,0.034,-0.015,0.06
Cardiac_dysrhythmias,0.064,-0.089,0.131,0.169,0.242,-0.107,0.294,-0.292,0.211,-0.171,-0.139,0.233,0.209
Allergic_rhinitis,0.174,-0.109,-0.06,-0.069,0.167,0.26,-0.106,0.068,0.219,-0.104,0.149,0.055,-0.369
Diabetes,-0.129,-0.111,0.374,0.125,0.282,-0.094,0.073,0.075,0.124,0.179,0.325,0.035,0.03
Neuropathy_and_other_nervous_system_disorders,0.493,-0.134,0.037,0.068,0.054,-0.085,0.231,0.426,-0.22,0.049,0.097,0.146,-0.044
