"",ML16,ML6,ML5,ML1,ML11,ML12,ML13,ML7,ML14,ML4,ML15,ML10,ML9,ML3,ML2,ML8
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.036,0.998,-0.044,-0.002,-0.087,0.023,-0.118,0.007,0.035,0.032,0.057,-0.022,-0.085,-0.019,-0.019,0.05
Cataract,0.052,0.404,0.063,-0.032,-0.055,0.28,0.016,0.175,0.029,-0.099,0.067,-0.082,0.099,-0.019,0.061,0.067
Other_nutritional__endocrine__and_metabolic_disorders,-0.126,0.307,0.12,-0.112,-0.139,-0.27,0.271,-0.001,0.31,0.017,-0.165,0.04,0.108,-0.022,0.193,-0.04
Osteoporosis,-0.109,0.273,0.149,0.042,0.293,0.055,0.306,-0.074,-0.037,0.082,-0.161,-0.147,0.127,-0.103,-0.187,-0.095
Osteoarthritis,0.094,0.259,0.012,0.051,0.192,-0.046,0.303,0.148,0.165,0.066,0.014,-0.068,0.132,-0.137,-0.06,-0.202
Depression_and_Mood_disorders,0.427,0.244,-0.106,0.12,0.16,-0.028,0.159,-0.071,-0.135,-0.246,0.102,0.406,0.189,0.043,0.113,0.052
Miscellaneous_mental_health_disorders,0.152,0.226,0.366,-0.093,0.218,0.125,0.24,-0.058,-0.167,-0.149,-0.145,-0.051,0.224,0.119,-0.007,-0.067
Vision_defects,0.291,0.224,-0.058,-0.143,0.125,-0.164,0.15,0.245,0.132,0.061,0.186,0.159,-0.011,0.203,-0.035,-0.249
Asthma,0.023,0.207,0.095,-0.069,-0.155,0.052,0.312,0.013,0.191,0.316,-0.038,0.046,-0.004,-0.183,-0.189,0.067
Urinary_incontinence,0.093,0.183,0.132,0.463,0.072,0.158,0.002,-0.01,-0.1,0.043,-0.032,-0.036,0.018,0.241,0.186,-0.039
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.333,0.159,0.167,-0.041,0.039,-0.01,-0.029,0.111,-0.114,0.321,0.083,0.042,0.13,0.083,0.067,0.015
Congestive_heart_failure__nonhypertensive,-0.069,0.133,0.133,0.199,0.124,0.047,0.11,-0.007,-0.007,0.004,0.81,-0.078,-0.122,-0.093,0.012,0.096
Anxiety_disorders,0.219,0.116,0.136,-0.049,0.127,0.053,-0.014,0.24,0.13,-0.119,-0.28,-0.034,-0.116,0.022,-0.288,0.175
Headache__including_migraine,0.272,0.112,0.019,-0.271,0.076,0.248,0.021,-0.106,0.128,0.224,0.088,0.019,0.104,0.23,-0.17,-0.101
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.251,0.101,0.025,0.548,0.082,0.056,0.035,0.041,-0.033,0.106,0.097,-0.1,0.07,0.14,-0.104,-0.054
Coagulation_and_hemorrhagic_disorders,0.087,0.094,0.001,0.058,-0.018,0.125,0.145,0.076,0.031,-0.018,0.07,0.131,-0.861,-0.072,-0.035,0.136
Menstrual_disorders,0.58,0.082,-0.161,0.011,0.033,0.187,0.047,-0.095,-0.16,-0.04,-0.245,0.022,-0.143,-0.138,0.192,-0.088
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.034,0.077,0.276,0.016,0.121,0.058,0.055,-0.394,-0.036,0.137,-0.124,0.248,0.111,0.034,-0.056,0.268
Transient_cerebral_ischemia,-0.273,0.076,0.016,-0.026,0.18,0.066,0.237,0.047,0.192,0.211,-0.232,-0.029,0.079,0.155,0.131,0.005
Disorders_of_lipid_metabolism,0.271,0.068,0.108,-0.171,0.098,0.08,0.016,-0.1,0.162,0.173,0.176,-0.079,0.034,-0.039,0.074,0.086
