"",ML17,ML7,ML1,ML5,ML14,ML12,ML13,ML16,ML4,ML11,ML8,ML15,ML2,ML3,ML9,ML10,ML6
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.041,1.004,0.001,-0.044,-0.124,-0.077,0.007,0.017,-0.022,0.033,0.034,0.057,-0.022,-0.019,-0.083,0.051,-0.008
Cataract,0.037,0.412,-0.03,0.064,0.024,-0.066,0.177,0.266,-0.073,-0.097,0.031,0.061,0.07,-0.027,0.089,0.056,0.077
Other_nutritional__endocrine__and_metabolic_disorders,-0.166,0.299,-0.102,0.098,0.288,-0.209,0.029,-0.321,0.08,0.019,0.286,-0.173,0.181,-0.044,0.076,-0.077,0.212
Osteoporosis,-0.099,0.269,0.035,0.156,0.288,0.326,-0.082,0.076,-0.163,0.084,-0.031,-0.158,-0.19,-0.091,0.137,-0.078,-0.053
Osteoarthritis,0.113,0.256,0.048,0.012,0.298,0.212,0.138,-0.06,-0.07,0.064,0.163,0.023,-0.058,-0.134,0.143,-0.195,-0.036
Depression_and_Mood_disorders,0.364,0.249,0.118,-0.111,0.162,0.147,-0.077,-0.027,0.435,-0.249,-0.156,0.1,0.132,0.038,0.186,0.044,0.064
Miscellaneous_mental_health_disorders,0.155,0.226,-0.101,0.376,0.22,0.263,-0.079,0.154,-0.062,-0.149,-0.168,-0.14,0.006,0.132,0.238,-0.047,-0.078
Vision_defects,0.305,0.224,-0.149,-0.056,0.146,0.158,0.225,-0.167,0.157,0.055,0.129,0.2,-0.026,0.209,0.012,-0.232,-0.104
Asthma,0.045,0.207,-0.067,0.092,0.315,-0.136,0.013,0.039,0.04,0.314,0.188,-0.033,-0.194,-0.183,0.005,0.066,-0.044
Urinary_incontinence,0.083,0.188,0.463,0.136,0.003,0.086,-0.013,0.143,-0.035,0.045,-0.09,-0.032,0.197,0.239,0.018,-0.037,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.317,0.165,-0.046,0.168,-0.028,0.035,0.103,-0.007,0.058,0.319,-0.128,0.082,0.086,0.08,0.128,0.013,0.031
Congestive_heart_failure__nonhypertensive,-0.074,0.138,0.203,0.14,0.116,0.104,-0.007,0.044,-0.073,0.006,-0.004,0.805,0.014,-0.099,-0.125,0.099,0.054
Anxiety_disorders,0.231,0.122,-0.056,0.134,-0.007,0.104,0.239,0.05,-0.012,-0.118,0.121,-0.287,-0.274,0.014,-0.126,0.164,0.1
Headache__including_migraine,0.278,0.12,-0.279,0.031,0.02,0.096,-0.125,0.263,0.018,0.223,0.13,0.088,-0.149,0.231,0.108,-0.091,-0.02
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.245,0.111,0.546,0.027,0.045,0.06,0.04,0.044,-0.076,0.107,-0.042,0.088,-0.087,0.13,0.059,-0.065,0.113
Coagulation_and_hemorrhagic_disorders,0.091,0.101,0.061,0.001,0.154,0.005,0.079,0.13,0.124,-0.021,0.036,0.074,-0.034,-0.071,-0.844,0.147,-0.113
Menstrual_disorders,0.546,0.094,0.007,-0.165,0.053,0.034,-0.105,0.201,0.048,-0.044,-0.186,-0.246,0.223,-0.142,-0.142,-0.092,0.017
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.005,0.076,0.023,0.267,0.065,0.067,-0.376,0.034,0.282,0.144,-0.046,-0.134,-0.05,0.016,0.081,0.242,0.194
Disorders_of_lipid_metabolism,0.245,0.074,-0.174,0.108,0.029,0.064,-0.1,0.066,-0.051,0.174,0.149,0.169,0.095,-0.053,0.017,0.074,0.128
Hypertension,0.005,0.068,0.111,0.08,-0.036,0.13,-0.097,0.142,0.003,-0.08,0.833,0.016,0.179,0.135,-0.034,0.022,0.016
Transient_cerebral_ischemia,-0.272,0.067,-0.028,0.02,0.229,0.201,0.049,0.062,-0.048,0.214,0.209,-0.231,0.122,0.161,0.082,0.014,-0.042
Esophageal_disorders,0.272,0.06,0.122,0.061,-0.054,0.212,0.117,-0.267,-0.121,-0.197,0.222,-0.111,0.01,-0.144,0.228,0.182,-0.091
Heart_valve_disorders,-0.012,0.059,-0.008,-0.049,0.068,0.013,-0.021,-0.069,-0.011,0.023,0.004,0.02,0.025,0.032,-0.052,0.977,0.006
