"",ML3,ML2,ML1
Congestive_heart_failure__nonhypertensive,-0.15,0.73,-0.055
Chronic_ulcer_of_skin,-0.284,0.636,0.338
Diabetes,0.112,0.529,-0.149
Urinary_incontinence,0.135,0.525,0.075
Cardiac_dysrhythmias,0.057,0.522,-0.041
Ischemic_heart_disease,0.255,0.489,-0.077
Hypertension,0.262,0.483,0.051
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.132,0.48,0.031
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.174,0.406,-0.088
Coagulation_and_hemorrhagic_disorders,-0.098,0.404,0.275
Chronic_kidney_disease,0.042,0.364,0.073
Cataract,0.295,0.362,-0.208
Obesity,0.309,0.315,-0.224
Heart_valve_disorders,-0.114,0.281,0.101
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.198,0.261,-0.132
Osteoarthritis,0.392,0.24,-0.14
Transient_cerebral_ischemia,0.15,0.234,-0.03
Disorders_of_lipid_metabolism,0.404,0.188,-0.118
Diverticulosis_and_diverticulitis,0.34,0.184,0.257
Depression_and_Mood_disorders,0.413,0.182,0.339
Psoriasis_and_other_inflammatory,0.092,0.175,0.056
Atopic_dermatitis,0.233,0.144,0.232
Asthma,0.255,0.138,-0.017
Other_nutritional__endocrine__and_metabolic_disorders,0.165,0.128,-0.09
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.459,0.12,0.017
Acute_cerebrovascular_disease,0.016,0.112,0.159
Glaucoma,0.047,0.109,-0.06
Vision_defects,0.423,0.107,0.073
Adjustment_disorders,0.239,0.083,-0.124
Osteoporosis,0.317,0.057,-0.109
Esophageal_disorders,0.269,0.032,-0.074
Irritable_bowel_and_other_GI_disorders,0.019,0.011,0.995
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.253,-0.01,0.36
Miscellaneous_mental_health_disorders,0.52,-0.015,-0.037
Neuropathy_and_other_nervous_system_disorders,0.416,-0.029,-0.122
Myodesopsia_and_other_eye_disorders,0.46,-0.039,0.019
Headache__including_migraine,0.533,-0.039,-0.035
Menstrual_disorders,0.443,-0.082,-0.011
Acquired_foot_deformities,0.461,-0.084,0.038
Anxiety_disorders,0.42,-0.086,0.073
Allergic_rhinitis,0.295,-0.141,0.191
Menopausal_disorders,0.549,-0.164,0.338
