"",ML3,ML2,ML4,ML1
Chronic_ulcer_of_skin,-0.081,0.953,-0.062,0.016
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.187,0.505,0.147,0.039
Irritable_bowel_and_other_GI_disorders,0.318,0.493,-0.246,-0.12
Urinary_incontinence,0.136,0.492,0.241,0.099
Congestive_heart_failure__nonhypertensive,-0.166,0.436,0.263,0.202
Coagulation_and_hemorrhagic_disorders,0.029,0.351,-0.068,0.213
Heart_valve_disorders,0.001,0.302,0.105,-0.163
Cardiac_dysrhythmias,0.012,0.28,0.19,0.239
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.222,0.256,0.089,0.113
Diabetes,-0.001,0.254,0.356,0.185
Hypertension,0.054,0.237,0.439,0.304
Depression_and_Mood_disorders,0.475,0.236,0.137,-0.052
Acute_cerebrovascular_disease,0.064,0.218,0.181,-0.213
Psoriasis_and_other_inflammatory,0.164,0.204,-0.009,-0.001
Diverticulosis_and_diverticulitis,0.426,0.159,-0.067,0.16
Atopic_dermatitis,0.226,0.138,0.201,-0.017
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.299,0.121,0.057,-0.056
Chronic_kidney_disease,-0.053,0.097,0.113,0.358
Transient_cerebral_ischemia,0.08,0.096,0.189,0.116
Esophageal_disorders,0.247,0.054,0.261,-0.237
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.45,0.038,0.211,-0.052
Ischemic_heart_disease,0.005,0.02,-0.026,0.997
Vision_defects,0.424,0.005,0.252,-0.075
Osteoarthritis,0.235,0.002,0.331,0.115
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.021,-0.012,0.444,0.044
Glaucoma,-0.129,-0.013,0.094,0.259
Menopausal_disorders,0.659,-0.018,-0.088,-0.035
Asthma,0.15,-0.025,0.172,0.144
Acquired_foot_deformities,0.534,-0.031,-0.142,0.05
Cataract,0.043,-0.039,0.431,0.288
Adjustment_disorders,0.151,-0.053,0.108,0.15
Allergic_rhinitis,0.287,-0.055,0.001,0
Other_nutritional__endocrine__and_metabolic_disorders,-0.077,-0.065,0.703,-0.201
Anxiety_disorders,0.426,-0.069,0.011,0.01
Obesity,0.077,-0.074,0.54,0.103
Myodesopsia_and_other_eye_disorders,0.532,-0.079,0.037,-0.088
Osteoporosis,0.211,-0.081,0.09,0.136
Neuropathy_and_other_nervous_system_disorders,0.342,-0.086,-0.044,0.194
Disorders_of_lipid_metabolism,0.255,-0.102,0.309,0.14
Menstrual_disorders,0.442,-0.12,-0.153,0.211
Miscellaneous_mental_health_disorders,0.383,-0.184,0.169,0.122
Headache__including_migraine,0.366,-0.269,0.142,0.243
