"",ML5,ML6,ML4,ML2,ML1,ML3
Obesity,0.053,0.718,-0.089,-0.179,0.058,0.137
Other_nutritional__endocrine__and_metabolic_disorders,-0.056,0.606,-0.006,0.04,-0.225,-0.068
Hypertension,0.053,0.445,0.291,-0.078,0.313,-0.029
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.015,0.429,-0.096,0.012,0.001,0.221
Cataract,0.002,0.362,-0.049,0.175,0.263,-0.015
Disorders_of_lipid_metabolism,0.234,0.349,-0.078,0.001,0.133,0.001
Congestive_heart_failure__nonhypertensive,-0.251,0.332,0.286,0.117,0.126,0.348
Diabetes,-0.129,0.32,0.236,0.388,0.148,-0.098
Osteoarthritis,0.166,0.315,-0.021,0.235,0.106,-0.086
Esophageal_disorders,0.187,0.255,0.065,0.159,-0.218,-0.166
Cardiac_dysrhythmias,-0.029,0.247,0.172,0.098,0.175,0.317
Vision_defects,0.353,0.23,-0.026,0.264,-0.089,0.02
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.367,0.205,0.049,0.252,-0.042,-0.116
Urinary_incontinence,0.068,0.203,0.506,0.124,0.125,-0.07
Asthma,0.146,0.202,-0.103,0.038,0.121,0.139
Miscellaneous_mental_health_disorders,0.352,0.2,-0.114,0.055,0.153,-0.214
Depression_and_Mood_disorders,0.479,0.194,0.303,-0.108,-0.007,-0.019
Heart_valve_disorders,0.002,0.18,0.231,-0.052,-0.212,0.323
Atopic_dermatitis,0.201,0.175,0.11,0.231,-0.034,0.004
Headache__including_migraine,0.379,0.173,-0.16,-0.092,0.276,-0.152
Acute_cerebrovascular_disease,0.057,0.154,0.36,-0.046,-0.177,-0.195
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.102,0.126,0.499,0.136,0.074,-0.074
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.396,0.107,0.266,-0.347,0.003,-0.044
Adjustment_disorders,0.136,0.106,0.056,0.014,0.183,-0.244
Transient_cerebral_ischemia,0.053,0.096,0.2,0.134,0.132,-0.175
Chronic_kidney_disease,-0.093,0.088,0.164,0.149,0.346,-0.124
Myodesopsia_and_other_eye_disorders,0.449,0.085,-0.196,0.359,-0.124,0.109
Osteoporosis,0.197,0.061,-0.046,0.034,0.165,-0.113
Glaucoma,-0.067,0.05,0.101,-0.204,0.303,-0.171
Allergic_rhinitis,0.346,0.042,-0.024,-0.115,0.021,0.017
Coagulation_and_hemorrhagic_disorders,0.047,0.033,0.018,0.048,0.071,0.971
Anxiety_disorders,0.426,0.011,-0.137,0.168,-0.001,0.116
Neuropathy_and_other_nervous_system_disorders,0.289,-0.003,-0.01,0.065,0.266,-0.383
Ischemic_heart_disease,-0.001,-0.027,0.007,0.015,0.989,0.07
Menstrual_disorders,0.432,-0.032,-0.198,-0.059,0.223,0.135
Menopausal_disorders,0.674,-0.033,-0.014,0.011,0,0.035
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.02,-0.06,0.053,0.982,0.023,0.053
Psoriasis_and_other_inflammatory,0.079,-0.067,0.177,0.281,0.007,-0.072
Acquired_foot_deformities,0.471,-0.075,-0.134,0.235,0.048,0.069
Chronic_ulcer_of_skin,-0.137,-0.077,0.825,0.096,0.046,0.12
Diverticulosis_and_diverticulitis,0.37,-0.099,0.216,0.204,0.182,-0.067
Irritable_bowel_and_other_GI_disorders,0.419,-0.261,0.523,-0.152,-0.085,0.223
