"",ML5,ML7,ML6,ML3,ML1,ML2,ML4
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.065,0.557,-0.029,0.012,0.019,0.203,-0.098
Other_nutritional__endocrine__and_metabolic_disorders,-0.055,0.534,-0.02,-0.225,-0.025,-0.064,0.179
Obesity,0.099,0.53,-0.144,0.032,-0.289,0.152,0.355
Cataract,-0.079,0.484,0.007,0.27,0.168,-0.028,-0.034
Osteoarthritis,0.129,0.368,0.024,0.124,0.23,-0.097,-0.034
Congestive_heart_failure__nonhypertensive,-0.286,0.344,0.307,0.135,0.096,0.346,0.037
Disorders_of_lipid_metabolism,0.236,0.307,-0.084,0.121,-0.047,0.003,0.14
Asthma,0.095,0.299,-0.038,0.143,0.069,0.12,-0.161
Esophageal_disorders,0.16,0.296,0.092,-0.214,0.139,-0.173,0.025
Miscellaneous_mental_health_disorders,0.303,0.292,-0.059,0.164,0.066,-0.23,-0.089
Hypertension,0.1,0.267,0.216,0.277,-0.191,-0.004,0.401
Atopic_dermatitis,0.159,0.25,0.164,-0.008,0.248,-0.011,-0.108
Vision_defects,0.342,0.244,-0.011,-0.081,0.244,0.016,0.035
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.342,0.237,0.065,-0.042,0.226,-0.118,0.062
Headache__including_migraine,0.346,0.226,-0.117,0.287,-0.077,-0.166,-0.094
Depression_and_Mood_disorders,0.446,0.219,0.32,-0.017,-0.129,-0.023,0.046
Cardiac_dysrhythmias,-0.029,0.211,0.18,0.185,0.08,0.316,0.041
Osteoporosis,0.126,0.205,0.032,0.183,0.077,-0.136,-0.198
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.057,0.188,0.548,0.095,0.147,-0.085,-0.078
Urinary_incontinence,0.052,0.182,0.493,0.114,0.075,-0.062,0.162
Anxiety_disorders,0.376,0.16,-0.045,0.034,0.232,0.088,-0.285
Heart_valve_disorders,0.001,0.155,0.224,-0.217,-0.075,0.326,0.067
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.369,0.123,0.29,0.006,-0.334,-0.054,-0.071
Chronic_kidney_disease,-0.118,0.105,0.173,0.354,0.143,-0.124,0.011
Adjustment_disorders,0.138,0.085,0.063,0.192,0.009,-0.247,0.003
Acute_cerebrovascular_disease,0.073,0.08,0.329,-0.182,-0.084,-0.185,0.133
Myodesopsia_and_other_eye_disorders,0.483,0.051,-0.214,-0.132,0.321,0.114,0.127
Glaucoma,-0.085,0.048,0.101,0.299,-0.204,-0.171,0.003
Neuropathy_and_other_nervous_system_disorders,0.266,0.044,0.027,0.278,0.082,-0.394,-0.081
Coagulation_and_hemorrhagic_disorders,0.059,0.025,0.027,0.074,0.056,0.97,-0.035
Transient_cerebral_ischemia,0.086,0.009,0.151,0.114,0.076,-0.158,0.223
Acquired_foot_deformities,0.453,0.007,-0.078,0.07,0.272,0.052,-0.161
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.015,-0.004,0.054,0.026,0.944,0.061,0.133
Diabetes,-0.003,-0.009,0.028,0.041,0.143,-0.028,0.951
Allergic_rhinitis,0.375,-0.011,-0.034,0.018,-0.124,0.017,0.029
Menopausal_disorders,0.683,-0.035,-0.008,-0.002,0.011,0.032,-0.008
Ischemic_heart_disease,-0.008,-0.038,0.005,0.981,0.005,0.073,0.051
Chronic_ulcer_of_skin,-0.141,-0.106,0.805,0.039,0.071,0.131,0.108
Psoriasis_and_other_inflammatory,0.098,-0.107,0.137,-0.015,0.233,-0.056,0.197
Menstrual_disorders,0.483,-0.111,-0.24,0.193,-0.099,0.146,0.163
Diverticulosis_and_diverticulitis,0.404,-0.162,0.173,0.157,0.155,-0.052,0.202
Irritable_bowel_and_other_GI_disorders,0.414,-0.25,0.523,-0.084,-0.124,0.223,-0.079
