"",ML10,ML5,ML8,ML1,ML4,ML7,ML3,ML2,ML6,ML9
Ischemic_heart_disease,-0.058,0.951,0.013,0.039,0.007,0.079,-0.03,-0.092,0.078,0.084
Chronic_kidney_disease,-0.038,0.32,0.404,-0.023,-0.076,-0.162,-0.031,-0.001,0.02,0.09
Headache__including_migraine,0.238,0.32,0.105,-0.276,0.116,-0.124,0.062,0.276,-0.151,0.07
Neuropathy_and_other_nervous_system_disorders,0.405,0.294,-0.047,0.078,-0.169,-0.36,0.076,-0.053,-0.078,0.047
Cataract,0.142,0.281,0.106,-0.05,0.364,-0.071,-0.138,-0.054,0.078,0.052
Glaucoma,-0.087,0.253,-0.196,0.114,0.057,-0.158,-0.049,-0.115,-0.077,0.299
Menstrual_disorders,0.352,0.236,-0.312,-0.023,0.1,0.156,0.181,-0.075,0.202,-0.24
Cardiac_dysrhythmias,0.153,0.22,0.286,0.081,-0.253,0.373,-0.113,0.249,0.009,-0.012
Miscellaneous_mental_health_disorders,0.351,0.192,0.04,-0.125,0.167,-0.207,0.05,0.152,-0.026,-0.05
Adjustment_disorders,-0.024,0.187,0.227,-0.048,-0.048,-0.231,0.352,0.193,-0.029,-0.028
Osteoporosis,0.21,0.181,-0.026,0.022,0.249,-0.139,-0.004,-0.058,-0.138,0.019
Urinary_incontinence,0.137,0.15,0.001,0.459,0.164,-0.037,0.012,0.242,0.197,-0.099
Diverticulosis_and_diverticulitis,0.332,0.132,0.181,0.019,-0.208,-0.013,0.088,-0.053,0.186,0.06
Hypertension,0.02,0.126,0.033,0.06,0.075,0.04,0.131,0.153,0.168,0.822
Asthma,0.147,0.116,0.076,-0.034,0.243,0.077,0.097,-0.094,-0.142,0.13
Acquired_foot_deformities,0.557,0.112,-0.187,-0.009,-0.047,0.166,-0.097,0.102,-0.152,0.093
Disorders_of_lipid_metabolism,0.292,0.111,0.241,-0.223,0.069,-0.035,-0.027,-0.029,0.107,0.14
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.219,0.103,0.142,0.536,0.091,-0.073,0.084,0.16,-0.049,-0.123
Osteoarthritis,0.346,0.103,0.075,0.021,0.235,-0.109,-0.084,-0.115,0.032,0.135
Coagulation_and_hemorrhagic_disorders,0.039,0.061,0.062,0.059,0.059,0.949,0.017,-0.036,-0.023,0.023
Anxiety_disorders,0.373,0.053,-0.176,-0.018,0.079,0.189,0.168,0.053,-0.235,0.105
Diabetes,-0.017,0.043,-0.007,0.037,-0.023,-0.024,-0.019,0.017,0.962,0.077
Menopausal_disorders,0.564,0.03,-0.1,-0.023,-0.093,0.097,0.117,-0.008,-0.005,-0.048
Congestive_heart_failure__nonhypertensive,-0.078,0.026,0.85,0.167,0.106,0.148,-0.089,-0.111,0.043,-0.002
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.326,0.02,0.156,-0.003,0.182,-0.123,0.212,0.148,0.173,-0.25
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.208,0.002,0.04,0.11,0.06,-0.05,0.195,0.125,-0.167,0.063
Chronic_ulcer_of_skin,-0.038,-0.006,0.066,0.938,-0.043,0.076,0.007,0.007,0.041,0.083
Obesity,0.141,-0.012,0.368,-0.285,0.026,0.068,0.158,0.107,0.247,0.199
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.051,-0.016,0.019,-0.005,0.993,0.05,-0.016,-0.021,-0.022,0.032
Depression_and_Mood_disorders,0.449,-0.027,0.125,0.204,0.168,-0.04,0.133,0.127,0.055,-0.132
Allergic_rhinitis,-0.042,-0.044,-0.055,0.021,-0.019,0.013,0.992,-0.097,-0.011,0.063
Vision_defects,0.364,-0.064,0.133,-0.12,0.21,0.059,0.01,0.265,0.069,0.018
Atopic_dermatitis,0.183,-0.066,0.368,0.043,-0.068,-0.012,0.268,0.011,-0.13,0.187
Acute_cerebrovascular_disease,-0.051,-0.095,-0.077,0.054,-0.035,-0.024,-0.104,0.964,0.026,0.088
Myodesopsia_and_other_eye_disorders,0.554,-0.153,0.039,-0.155,-0.046,0.165,0.071,-0.092,0.206,-0.034
Esophageal_disorders,0.541,-0.256,-0.071,0.1,0.026,-0.16,-0.194,-0.229,0.043,0.28
