"",ML12,ML10,ML9,ML6,ML5,ML8,ML11,ML2,ML3,ML4,ML7,ML1
Congestive_heart_failure__nonhypertensive,-0.104,0.819,0.029,0.193,0.136,0.115,-0.121,0.161,-0.107,-0.078,0.038,0.002
Chronic_kidney_disease,0.042,0.433,0.335,-0.007,-0.086,-0.14,0.004,-0.153,-0.029,0.054,0.049,0.066
Obesity,0.254,0.4,0.035,-0.257,0.013,-0.202,0.109,0.068,0.169,-0.02,0.282,0.19
Atopic_dermatitis,0.253,0.337,0.061,0.095,-0.054,-0.162,-0.001,-0.055,0.249,-0.324,-0.113,0.258
Cardiac_dysrhythmias,0.182,0.312,0.157,0.071,-0.262,0.031,0.261,0.413,-0.1,0.197,0.014,-0.077
Disorders_of_lipid_metabolism,0.255,0.253,0.063,-0.236,0.081,0.12,-0.01,0.001,-0.021,0.183,0.107,0.089
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.323,0.164,-0.033,-0.015,0.186,0.096,0.153,-0.092,0.215,0.111,0.16,-0.296
Adjustment_disorders,-0.171,0.156,0.187,-0.043,0,0.293,0.19,-0.235,0.318,-0.151,-0.066,-0.011
Cataract,0.176,0.138,0.257,-0.058,0.355,-0.062,-0.041,-0.048,-0.127,0.164,0.094,0.007
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.18,0.124,0.085,0.53,0.104,0.086,0.166,-0.059,0.08,0.035,-0.059,-0.144
Depression_and_Mood_disorders,0.404,0.122,-0.085,0.185,0.18,0.157,0.141,-0.004,0.137,0.143,0.04,-0.182
Vision_defects,0.286,0.106,-0.091,-0.126,0.238,0.195,0.274,0.077,0.002,0.01,0.046,0
Headache__including_migraine,0.171,0.097,0.29,-0.287,0.133,0.117,0.292,-0.103,0.054,0.074,-0.159,0.038
Asthma,0.195,0.091,0.139,-0.027,0.236,-0.119,-0.09,0.079,0.102,0.022,-0.123,0.124
Chronic_ulcer_of_skin,-0.023,0.057,0.008,0.945,-0.042,-0.029,0.012,0.073,0.01,0.025,0.05,0.074
Osteoarthritis,0.291,0.052,0.086,0.015,0.263,0.192,-0.1,-0.097,-0.096,0.043,0.014,0.118
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.163,0.042,-0.057,0.089,0.069,0.148,0.141,-0.019,0.195,0.166,-0.176,0.016
Coagulation_and_hemorrhagic_disorders,0.022,0.039,0.066,0.067,0.062,0.005,-0.047,0.948,0.025,-0.058,-0.029,0.032
Hypertension,-0.006,0.034,0.125,0.062,0.093,0.097,0.187,0.052,0.129,0.163,0.187,0.772
Diverticulosis_and_diverticulitis,-0.014,0.032,0.02,-0.009,-0.093,0.98,-0.042,0.013,0.024,-0.045,0.065,0.043
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.059,0.022,-0.001,-0.003,0.994,-0.086,-0.024,0.049,-0.015,-0.012,-0.012,0.034
Myodesopsia_and_other_eye_disorders,0.575,0.017,-0.1,-0.136,-0.034,-0.009,-0.095,0.15,0.072,-0.152,0.199,-0.001
Miscellaneous_mental_health_disorders,0.319,0.007,0.209,-0.118,0.192,0.128,0.156,-0.214,0.028,-0.11,-0.05,-0.04
Ischemic_heart_disease,-0.079,-0.002,0.948,0.041,0.018,0.049,-0.084,0.08,-0.041,0.036,0.073,0.058
Urinary_incontinence,0.118,-0.017,0.145,0.461,0.174,0.066,0.246,-0.035,0.007,-0.008,0.184,-0.115
Diabetes,-0.004,-0.017,0.054,0.053,-0.013,0.068,0.018,-0.032,-0.015,-0.021,0.953,0.064
Osteoporosis,0.114,-0.028,0.072,-0.018,0.268,0.307,-0.037,-0.092,-0.01,0.268,-0.166,-0.052
Glaucoma,-0.011,-0.033,0.016,0.024,-0.012,-0.049,-0.057,-0.034,0.018,0.988,-0.021,0.071
Neuropathy_and_other_nervous_system_disorders,0.464,-0.041,0.326,0.085,-0.171,-0.055,-0.039,-0.366,0.07,-0.007,-0.071,0.042
Allergic_rhinitis,-0.039,-0.062,-0.047,0.021,-0.019,0.021,-0.102,0.016,0.992,0.014,-0.008,0.047
Acute_cerebrovascular_disease,-0.06,-0.079,-0.083,0.059,-0.036,-0.042,0.972,-0.031,-0.107,-0.059,0.028,0.084
Menopausal_disorders,0.513,-0.103,-0.008,-0.045,-0.084,0.122,0.007,0.123,0.128,0.119,-0.017,-0.08
Esophageal_disorders,0.506,-0.106,-0.208,0.109,0.057,0.125,-0.214,-0.177,-0.206,-0.098,0.029,0.314
Anxiety_disorders,0.301,-0.228,0.097,-0.012,0.106,0.1,0.056,0.168,0.153,-0.167,-0.255,0.143
Acquired_foot_deformities,0.468,-0.229,0.12,-0.016,-0.02,0.171,0.115,0.164,-0.106,-0.051,-0.178,0.105
Menstrual_disorders,0.335,-0.331,0.251,-0.026,0.102,0.008,-0.079,0.146,0.186,-0.071,0.186,-0.23
