"",ML14,ML8,ML7,ML6,ML9,ML4,ML11,ML10,ML13,ML3,ML5,ML12,ML2,ML1
Chronic_ulcer_of_skin,-0.015,0.962,-0.006,-0.03,-0.037,-0.035,0.011,0.073,-0.103,0.009,0.026,0.042,0.009,0.086
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.073,0.565,0.192,0.127,0.077,0.066,0.025,-0.074,0.037,0.135,0.029,0.097,0.036,-0.141
Urinary_incontinence,0.086,0.508,0.019,0.081,0.152,0.098,0.152,-0.041,0.103,0.219,-0.02,-0.091,-0.017,-0.088
Congestive_heart_failure__nonhypertensive,-0.086,0.249,-0.179,0.025,0.159,0.145,0.036,0.184,0.193,-0.146,-0.099,0.664,-0.114,-0.04
Depression_and_Mood_disorders,0.281,0.222,0.222,0.066,0.156,0.176,-0.138,-0.028,0.068,0.13,0.132,0.144,0.106,-0.123
Diabetes,-0.352,0.181,0.11,0.115,-0.05,0.193,0.124,-0.054,0.268,0.011,-0.031,-0.018,-0.106,0.371
Esophageal_disorders,0.365,0.136,0.069,-0.022,0.032,0.135,-0.245,-0.202,0.141,-0.238,-0.098,-0.166,-0.227,0.302
Cardiac_dysrhythmias,0.208,0.122,0.058,-0.068,-0.258,0.061,0.116,0.386,0.235,0.244,0.197,0.245,-0.11,-0.135
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.276,0.091,-0.037,0.026,0.061,0.134,-0.079,-0.02,0.068,0.121,0.161,-0.013,0.198,-0.074
Neuropathy_and_other_nervous_system_disorders,0.347,0.085,0.121,0.172,-0.216,-0.075,0.272,-0.372,0.057,-0.07,-0.019,-0.062,0.028,0.055
Hypertension,-0.021,0.082,-0.071,-0.108,0.105,0.12,0.142,0.039,0.143,0.193,0.163,0.018,0.129,0.783
Atopic_dermatitis,0.379,0.076,-0.232,0.16,-0.07,-0.181,0.074,-0.013,0.019,-0.025,-0.347,0.255,0.236,0.24
Acute_cerebrovascular_disease,-0.016,0.064,-0.058,0.032,-0.033,-0.047,-0.075,-0.033,0.008,0.958,-0.063,-0.058,-0.097,0.09
Coagulation_and_hemorrhagic_disorders,0.021,0.056,0.043,0.005,0.063,0.007,0.077,0.95,0.022,-0.046,-0.054,-0.003,0.017,0.027
Osteoarthritis,0.231,0.055,-0.047,0.097,0.234,0.212,0.076,-0.1,0.253,-0.146,0.029,-0.117,-0.122,0.049
Menstrual_disorders,-0.062,0.034,0.985,-0.042,0.042,-0.01,0.063,0.033,0.021,-0.052,-0.034,-0.035,0.071,-0.033
Ischemic_heart_disease,-0.005,0.033,0.062,0.002,0.005,0.052,0.943,0.078,0.002,-0.074,0.029,-0.002,-0.038,0.052
Glaucoma,0.003,0.025,-0.037,0.06,-0.022,-0.068,0.027,-0.033,-0.018,-0.057,0.988,-0.007,0.019,0.08
Allergic_rhinitis,-0.004,0.019,0.073,0.043,-0.02,0.032,-0.049,0.016,0.046,-0.096,0.019,-0.043,0.957,0.051
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.07,0.012,-0.052,0.99,0.05,0.037,0.015,-0.011,0.059,0.033,0.056,-0.01,0.042,-0.069
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.013,0.003,0.049,0.044,0.98,-0.091,-0.003,0.055,-0.004,-0.021,-0.02,0.02,-0.017,0.041
Chronic_kidney_disease,-0.048,-0.002,0.067,0.051,-0.084,-0.144,0.307,-0.148,-0.027,0.014,0.04,0.495,-0.044,0.15
Diverticulosis_and_diverticulitis,-0.019,-0.008,0,0.047,-0.096,0.98,0.036,0.018,-0.082,-0.043,-0.059,0.02,0.034,0.064
Asthma,0.437,-0.022,-0.071,-0.199,0.251,-0.094,0.118,0.066,0.136,-0.079,0.025,0.043,0.14,-0.004
Adjustment_disorders,-0.052,-0.029,-0.052,-0.077,0.025,0.312,0.176,-0.238,0.114,0.185,-0.155,0.096,0.334,-0.116
Acquired_foot_deformities,0.491,-0.03,0.039,-0.014,-0.041,0.167,0.085,0.147,0.111,0.091,-0.054,-0.309,-0.098,0.004
Menopausal_disorders,0.28,-0.035,0.329,0.301,-0.157,0.08,-0.078,0.106,0.001,-0.024,0.113,-0.047,0.04,0.038
Osteoporosis,0.386,-0.039,-0.132,0.018,0.256,0.285,0.081,-0.077,-0.084,-0.036,0.256,-0.045,0.031,-0.131
Cataract,0.145,-0.058,-0.068,0.223,0.319,-0.064,0.283,-0.019,-0.018,-0.055,0.137,0.111,-0.146,0.091
Anxiety_disorders,0.362,-0.069,0,0.166,0.071,0.046,0.085,0.187,-0.103,0.039,-0.175,-0.247,0.146,0.104
Miscellaneous_mental_health_disorders,0.254,-0.086,0.301,0.092,0.146,0.105,0.113,-0.25,0.12,0.134,-0.111,0.04,-0.024,-0.036
Obesity,-0.017,-0.086,0.015,0.051,-0.012,-0.09,-0.014,0.018,0.984,0.001,-0.019,0.013,0.051,0.04
Myodesopsia_and_other_eye_disorders,0.239,-0.125,0.302,0.35,-0.11,-0.028,-0.138,0.149,-0.051,-0.114,-0.168,0.113,-0.029,0.251
Vision_defects,0.097,-0.131,0.181,0.25,0.197,0.169,-0.116,0.084,-0.096,0.265,-0.01,0.191,-0.042,0.157
Disorders_of_lipid_metabolism,0.215,-0.194,0.215,-0.111,0.077,0.146,-0.001,-0.038,0.123,0.007,0.183,0.337,-0.033,0.141
Headache__including_migraine,0.164,-0.292,0.245,0.076,0.107,0.074,0.206,-0.124,0.007,0.288,0.072,0.185,0.03,0.04
