"",ML4,ML5,ML1,ML2,ML3
Cataract,-0.023,0.576,-0.061,0.072,0
Congestive_heart_failure__nonhypertensive,-0.331,0.506,0.255,0.071,0.326
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.064,0.494,-0.09,-0.084,0.179
Ischemic_heart_disease,0.068,0.436,0.084,0.189,0.175
Chronic_kidney_disease,-0.174,0.431,0.06,0.098,-0.087
Headache__including_migraine,0.294,0.419,-0.177,-0.078,-0.131
Obesity,0.055,0.404,-0.208,0.324,0.097
Miscellaneous_mental_health_disorders,0.308,0.379,-0.085,-0.026,-0.212
Disorders_of_lipid_metabolism,0.198,0.371,-0.159,0.16,0.004
Osteoarthritis,0.19,0.361,0.034,0.048,-0.07
Osteoporosis,0.16,0.325,0.016,-0.152,-0.11
Asthma,0.124,0.315,-0.031,-0.121,0.128
Hypertension,0.096,0.3,0.196,0.406,-0.006
Cardiac_dysrhythmias,0.021,0.281,0.178,0.055,0.35
Depression_and_Mood_disorders,0.385,0.258,0.234,0.009,-0.043
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.329,0.244,0.011,0.117,-0.099
Atopic_dermatitis,0.143,0.239,0.135,-0.061,0.014
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.167,0.221,0.58,-0.081,-0.073
Glaucoma,-0.088,0.205,0.111,-0.023,-0.175
Vision_defects,0.338,0.197,-0.054,0.095,0.049
Urinary_incontinence,0.13,0.192,0.484,0.173,-0.056
Adjustment_disorders,0.154,0.165,0.041,0.029,-0.21
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.254,0.152,0.159,-0.151,-0.077
Neuropathy_and_other_nervous_system_disorders,0.377,0.143,0.134,-0.03,-0.381
Anxiety_disorders,0.471,0.087,0.002,-0.22,0.138
Esophageal_disorders,0.252,0.07,0.1,0.054,-0.198
Diverticulosis_and_diverticulitis,0.346,0.057,0.097,0.248,0.001
Coagulation_and_hemorrhagic_disorders,0.085,0.018,0.039,-0.02,0.987
Acute_cerebrovascular_disease,0.034,0.003,0.203,0.107,-0.219
Diabetes,-0.006,-0.018,0.028,0.997,-0.021
Acquired_foot_deformities,0.576,-0.025,0.049,-0.106,0.097
Menopausal_disorders,0.648,-0.058,0.013,-0.007,0.054
Allergic_rhinitis,0.35,-0.068,-0.005,0.005,0.021
Myodesopsia_and_other_eye_disorders,0.517,-0.071,-0.144,0.201,0.163
Menstrual_disorders,0.533,-0.078,-0.087,0.143,0.156
Chronic_ulcer_of_skin,-0.046,-0.1,0.974,0.046,0.067
