"",ML8,ML2,ML7,ML5,ML1,ML3,ML4,ML6
Hypertension,-0.058,0.965,0.054,0.06,-0.044,0.056,0.056,0.027
Diabetes,0.073,0.466,0.113,0.09,0.163,-0.086,-0.111,-0.046
Obesity,0.204,0.376,-0.285,-0.031,0.334,-0.003,0.089,0.057
Acute_cerebrovascular_disease,0.117,0.371,0.168,-0.265,-0.088,-0.097,-0.064,-0.133
Glaucoma,-0.074,0.274,0.08,0.206,-0.133,0.057,-0.342,-0.149
Esophageal_disorders,0.277,0.228,0.073,-0.245,-0.103,0.049,0.063,-0.132
Disorders_of_lipid_metabolism,0.293,0.192,-0.232,0.094,0.222,0.058,0.064,-0.039
Diverticulosis_and_diverticulitis,0.402,0.185,-0.003,0.106,0.2,-0.232,-0.125,-0.007
Vision_defects,0.455,0.172,-0.099,-0.133,0.117,0.174,-0.034,0.032
Allergic_rhinitis,0.139,0.167,-0.043,-0.001,-0.262,-0.038,0.262,0.079
Osteoarthritis,0.265,0.134,0.001,0.098,0.064,0.237,-0.002,-0.099
Headache__including_migraine,0.327,0.133,-0.274,0.234,0.043,0.095,-0.007,-0.153
Adjustment_disorders,0.197,0.11,-0.068,0.133,0.187,-0.079,-0.102,-0.238
Chronic_kidney_disease,0.002,0.104,-0.041,0.305,0.407,-0.077,-0.001,-0.175
Chronic_ulcer_of_skin,-0.047,0.088,0.94,0.001,0.055,-0.042,0.031,0.077
Cardiac_dysrhythmias,0.249,0.087,0.093,0.146,0.315,-0.278,-0.136,0.332
Acquired_foot_deformities,0.431,0.079,-0.013,0.058,-0.254,-0.047,0.03,0.16
Asthma,0.064,0.07,-0.071,0.126,-0.002,0.258,0.107,0.097
Ischemic_heart_disease,-0.05,0.067,0.032,0.961,0.028,0.005,0.008,0.068
Anxiety_disorders,0.316,0.058,-0.038,0.022,-0.311,0.083,0.164,0.202
Cataract,0.109,0.05,-0.045,0.29,0.116,0.362,0.058,-0.078
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.204,0.046,0.103,-0.019,-0.097,0.06,0.251,-0.047
Atopic_dermatitis,-0.036,0.043,0.042,0.013,0.051,-0.03,0.986,0.002
Urinary_incontinence,0.205,0.041,0.508,0.136,-0.005,0.133,0.089,-0.065
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.003,0.037,-0.004,-0.007,0.038,0.984,-0.039,0.053
Myodesopsia_and_other_eye_disorders,0.454,0.026,-0.151,-0.116,-0.038,-0.052,0.29,0.182
Neuropathy_and_other_nervous_system_disorders,0.328,0.019,0.054,0.281,-0.132,-0.162,0.111,-0.346
Coagulation_and_hemorrhagic_disorders,0.03,0.014,0.049,0.07,0.055,0.056,0.016,0.95
Depression_and_Mood_disorders,0.627,0.007,0.203,-0.083,0.116,0.129,-0.103,-0.045
Menopausal_disorders,0.571,-0.018,-0.03,0.009,-0.178,-0.106,0.121,0.109
Congestive_heart_failure__nonhypertensive,-0.031,-0.021,0.138,0.053,0.857,0.112,0.106,0.143
Miscellaneous_mental_health_disorders,0.348,-0.037,-0.101,0.179,-0.07,0.158,0.322,-0.222
Osteoporosis,0.154,-0.056,0.007,0.182,-0.085,0.26,0.114,-0.13
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.339,-0.062,0.539,0.064,0.11,0.07,-0.006,-0.084
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.459,-0.099,0.02,0.021,0.103,0.148,0.168,-0.13
Menstrual_disorders,0.499,-0.111,-0.02,0.235,-0.266,0.063,-0.176,0.171
