"",ML9,ML8,ML6,ML7,ML3,ML5,ML4,ML1,ML2
Congestive_heart_failure__nonhypertensive,-0.054,0.832,0.181,0.005,0.052,-0.147,0.118,0.155,-0.096
Chronic_kidney_disease,-0.105,0.411,-0.024,0.113,0.296,0.039,-0.074,-0.173,0.009
Obesity,0.086,0.405,-0.261,0.374,-0.041,0.117,-0.001,0.046,0.07
Cardiac_dysrhythmias,0.114,0.297,0.078,-0.022,0.216,0.042,-0.25,0.366,0.276
Disorders_of_lipid_metabolism,0.184,0.29,-0.204,0.21,0.062,0.17,0.052,-0.061,-0.021
Atopic_dermatitis,0.401,0.237,0.023,0.185,-0.053,-0.25,-0.07,0.02,-0.082
Diverticulosis_and_diverticulitis,0.313,0.199,0.038,0.165,0.114,0.076,-0.23,-0.025,-0.073
Diabetes,-0.145,0.185,0.136,0.462,0.079,0.181,-0.078,-0.071,0.052
Adjustment_disorders,0.123,0.183,-0.062,0.056,0.161,0.027,-0.07,-0.226,0.107
Vision_defects,0.277,0.171,-0.112,0.09,-0.094,0.159,0.194,0.043,0.261
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.464,0.16,0.008,-0.126,0.04,0.008,0.151,-0.112,0.098
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.177,0.156,0.537,-0.093,0.056,0.202,0.078,-0.092,0.145
Depression_and_Mood_disorders,0.403,0.15,0.213,-0.043,-0.064,0.2,0.143,-0.055,0.1
Headache__including_migraine,0.182,0.116,-0.296,0.068,0.244,0.224,0.103,-0.143,0.26
Myodesopsia_and_other_eye_disorders,0.434,0.113,-0.123,0.098,-0.197,0.257,-0.078,0.135,-0.1
Miscellaneous_mental_health_disorders,0.275,0.095,-0.12,-0.009,0.116,0.296,0.142,-0.236,0.147
Cataract,0.192,0.094,-0.05,0.04,0.314,-0.121,0.363,-0.055,-0.028
Osteoarthritis,0.33,0.057,0.025,0.129,0.105,-0.051,0.232,-0.103,-0.105
Coagulation_and_hemorrhagic_disorders,0.042,0.051,0.049,0.021,0.065,0.052,0.057,0.947,-0.035
Chronic_ulcer_of_skin,-0.036,0.043,0.949,0.092,-0.007,-0.009,-0.041,0.068,0.002
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.029,0.028,-0.006,0.038,-0.019,0.045,0.985,0.05,-0.017
Urinary_incontinence,0.192,0.025,0.475,-0.02,0.168,0.032,0.145,-0.04,0.241
Ischemic_heart_disease,-0.017,0.013,0.024,0.095,0.937,0.057,-0.007,0.076,-0.074
Asthma,0.251,-0.003,-0.057,0.088,0.119,-0.111,0.243,0.098,-0.131
Hypertension,-0.014,-0.023,0.062,0.936,0.09,-0.055,0.061,0.026,0.097
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.328,-0.034,0.089,0.044,-0.018,-0.038,0.053,-0.037,0.063
Menopausal_disorders,0.485,-0.063,-0.016,0.008,-0.041,0.291,-0.121,0.071,-0.031
Esophageal_disorders,0.353,-0.064,0.119,0.264,-0.276,0.014,0.032,-0.171,-0.195
Menstrual_disorders,-0.036,-0.07,0.023,-0.022,0.043,0.992,0.034,0.044,-0.058
Acute_cerebrovascular_disease,-0.017,-0.072,0.043,0.09,-0.075,-0.058,-0.029,-0.021,0.97
Neuropathy_and_other_nervous_system_disorders,0.39,-0.075,0.066,0.041,0.252,0.076,-0.18,-0.362,-0.076
Osteoporosis,0.354,-0.099,0.001,-0.061,0.202,-0.166,0.251,-0.11,-0.073
Allergic_rhinitis,0.196,-0.15,0,0.309,-0.116,0.193,-0.078,0.009,-0.325
Acquired_foot_deformities,0.538,-0.234,-0.032,0.01,0.104,-0.02,-0.044,0.179,0.108
Glaucoma,-0.093,-0.245,0.096,0.242,0.246,-0.087,0.066,-0.151,-0.113
Anxiety_disorders,0.494,-0.266,-0.051,0.046,0.032,-0.031,0.072,0.207,-0.005
