"",ML10,ML9,ML4,ML7,ML8,ML6,ML2,ML5,ML3,ML1
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.051,0.88,-0.033,0.042,0.033,-0.077,0.284,0.056,0.024,0.057
Glaucoma,0.207,0.464,0.014,0.148,0.016,-0.034,-0.306,0.022,0.249,0.167
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.267,0.278,0.001,0.126,0.131,0.053,-0.353,0.049,0.121,-0.035
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.435,0.266,0.074,0.057,0.153,0.097,-0.172,0.093,-0.073,-0.281
Vision_defects,-0.108,0.262,-0.008,0.406,-0.066,-0.132,0.353,0.068,0.032,-0.049
Hypertension,0.012,0.235,0.156,0.11,0.266,0.071,-0.029,0.176,0.115,-0.098
Diseases_of_white_blood_cells,0.724,0.225,0.1,-0.107,-0.222,-0.01,-0.078,-0.1,-0.079,0.028
Acquired_foot_deformities,0.043,0.206,-0.331,-0.315,0.281,0.399,-0.068,0.079,0.06,0.058
Urinary_incontinence,0.171,0.205,0.246,0.095,0.449,0.094,-0.03,-0.139,0.304,-0.054
Cataract,0.297,0.168,0.313,0.22,-0.379,0.23,0.174,0.178,-0.197,-0.115
Coagulation_and_hemorrhagic_disorders,-0.147,0.161,0.26,0.116,0.136,0.314,0.066,-0.054,-0.09,0.668
Asthma,0.061,0.151,-0.039,-0.047,0.026,0.002,0.941,0.031,0.044,0.022
Heart_valve_disorders,0.295,0.142,0.046,0.292,0.27,-0.04,-0.061,0.188,-0.084,0.363
Headache__including_migraine,0.155,0.096,0.036,0.026,-0.223,0.095,0.055,0.298,-0.076,-0.051
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.034,0.088,0.335,0.023,-0.121,0.055,-0.112,0.211,0.015,-0.165
Depression_and_Mood_disorders,0.251,0.08,-0.161,-0.092,0.266,0.078,0.286,-0.089,0.097,0.028
Diverticulosis_and_diverticulitis,0.367,0.041,-0.14,-0.157,0.056,0.314,0.125,0.09,-0.102,0.208
Adjustment_disorders,-0.027,0.03,0.08,0.009,-0.1,0.046,0.044,0.119,0.941,-0.015
Chronic_kidney_disease,-0.042,0.021,-0.117,0.954,0.071,0.134,-0.066,-0.011,0.006,0.036
Congestive_heart_failure__nonhypertensive,-0.009,0.016,0.145,0.124,0.819,0.027,0.063,0.171,-0.264,0.063
Anxiety_disorders,-0.06,-0.006,0,-0.027,0.052,-0.015,0.002,0.983,0.079,-0.011
Chronic_ulcer_of_skin,0.037,-0.037,0.969,-0.11,0.085,0.036,-0.048,-0.013,0.09,0.074
Allergic_rhinitis,0.153,-0.068,-0.31,-0.088,-0.207,0.007,-0.064,0.302,0.173,0.445
Diabetes,-0.042,-0.073,0.248,0.257,0.063,0.089,0.122,-0.041,0.261,-0.035
Disorders_of_lipid_metabolism,0.181,-0.089,-0.246,0.152,0.014,0.324,0.194,0.115,0.097,-0.191
Cardiac_dysrhythmias,-0.025,-0.094,0.051,0.113,-0.036,0.955,-0.012,-0.006,0.049,0.053
Thyroid_disorders,0.26,-0.147,0.17,0.338,-0.15,-0.221,0.027,-0.016,0.081,0.359
Osteoporosis,0.744,-0.341,0.026,0.014,0.163,-0.019,0.231,0.027,0.099,-0.045
