"",ML1,ML4,ML3,ML10,ML8,ML7,ML6,ML2,ML11,ML9,ML12,ML5
Diseases_of_white_blood_cells,0.001,0.996,-0.011,0.043,-0.042,-0.009,-0.007,-0.076,-0.068,0.027,-0.063,0.121
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.113,0.438,-0.147,-0.063,0.025,0.061,-0.02,0.011,0.233,0.066,0.305,-0.3
Osteoporosis,0.16,0.422,0.254,0.006,-0.007,-0.049,0.027,0.102,0.171,-0.559,0.202,-0.029
Urinary_incontinence,-0.018,0.26,0,0.277,0.107,0.107,-0.021,0.246,0.466,0.112,-0.119,0.032
Cataract,0.139,0.232,0.228,0.244,0.185,0.175,0.205,-0.126,-0.389,0.068,0.098,0.066
Glaucoma,0.242,0.197,-0.277,0.05,0.131,-0.017,-0.014,0.271,0.04,0.398,0.134,0.025
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.293,0.175,-0.343,-0.061,0.06,0.016,0.216,0.148,0.042,0.148,0.107,-0.141
Diabetes,-0.124,0.173,0.129,0.132,0.267,0.126,0.17,0.272,0.038,-0.099,-0.308,-0.175
Allergic_rhinitis,-0.029,0.126,-0.029,-0.083,-0.001,0.013,0.072,0.102,0,-0.035,0.105,0.946
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.088,0.114,0.326,-0.056,0.026,-0.083,0.176,0.042,0.034,0.8,0.081,-0.062
Chronic_ulcer_of_skin,-0.009,0.067,-0.043,0.947,-0.111,0.053,0.072,0.096,0.061,-0.058,0.062,-0.136
Diverticulosis_and_diverticulitis,0.622,0.058,0.149,-0.142,-0.25,0.244,0.258,-0.08,-0.158,-0.08,0.046,0.001
Heart_valve_disorders,0.857,0.046,0.013,0.085,0.229,-0.022,-0.155,0.029,0.168,0.088,-0.02,-0.025
Disorders_of_lipid_metabolism,-0.137,0.036,0.177,-0.35,0.117,0.293,0.27,0.116,0.008,-0.196,0.176,-0.18
Depression_and_Mood_disorders,0.014,0.026,0.289,-0.088,-0.114,0.057,0.118,0.016,0.207,-0.02,0.123,0.052
Thyroid_disorders,0.279,0.023,0.014,0.203,0.308,-0.185,0.117,0.079,-0.249,-0.183,0.11,-0.06
Vision_defects,-0.312,0.015,0.337,-0.015,0.443,-0.091,-0.071,0.03,0.102,0.236,0.316,-0.043
Acquired_foot_deformities,0.046,0.012,-0.044,-0.297,-0.304,0.411,-0.109,0.086,0.363,0.204,0.089,-0.017
Cardiac_dysrhythmias,-0.017,0.001,-0.018,0.059,0.112,0.965,-0.006,0.047,-0.018,-0.062,0.02,0.001
Asthma,0.039,-0.007,0.978,-0.031,-0.05,-0.005,-0.033,0.057,0.014,0.089,0.002,-0.014
Hypertension,-0.069,-0.015,-0.052,0.048,0.034,-0.022,0.992,0.025,0.06,0.077,-0.04,0.06
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.024,-0.021,-0.133,0.18,-0.019,0.038,0.125,0.128,-0.091,0.022,0.369,-0.4
Chronic_kidney_disease,0.117,-0.05,-0.081,-0.115,0.924,0.165,0.069,-0.017,0.028,0.007,-0.004,-0.001
Headache__including_migraine,-0.03,-0.057,0.01,0.075,0.008,0.041,-0.05,-0.051,-0.061,0.002,0.867,0.13
Adjustment_disorders,0.005,-0.078,0.049,0.068,-0.013,0.04,0.024,0.984,-0.087,0.007,-0.036,0.078
Congestive_heart_failure__nonhypertensive,0.168,-0.117,0.09,0.153,0.102,0.035,0.232,-0.286,0.76,-0.039,-0.033,-0.035
Coagulation_and_hemorrhagic_disorders,0.231,-0.126,0.079,0.442,0.15,0.404,-0.01,-0.158,0.106,0.273,-0.053,0.218
Anxiety_disorders,0.259,-0.194,0.088,-0.111,-0.037,-0.048,0.172,0.343,0.267,-0.023,0.261,0.244
