"",ML4,ML1,ML2,ML3
Congestive_heart_failure__nonhypertensive,-0.03,0.982,0.053,0.044
Coagulation_and_hemorrhagic_disorders,0.214,0.391,0.05,0.289
Heart_valve_disorders,0.394,0.381,0.049,0.266
Urinary_incontinence,0.366,0.365,0.006,0.045
Chronic_ulcer_of_skin,0.438,0.289,-0.161,-0.154
Hypertension,0.237,0.287,0.066,0.104
Acquired_foot_deformities,0.092,0.27,0.043,-0.182
Depression_and_Mood_disorders,0.197,0.181,0.33,-0.138
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.422,0.176,-0.039,-0.009
Anxiety_disorders,0.208,0.17,0.218,0.011
Diverticulosis_and_diverticulitis,0.392,0.142,0.198,-0.109
Cardiac_dysrhythmias,0.246,0.095,-0.053,0.367
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.213,0.085,0.56,0.118
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.487,0.083,-0.222,0.105
Osteoporosis,0.36,0.078,0.221,-0.151
Chronic_kidney_disease,-0.022,0.051,-0.037,0.988
Asthma,-0.052,0.029,1.001,-0.058
Diabetes,0.165,0.008,0.077,0.242
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.298,-0.036,-0.072,0.015
Glaucoma,0.529,-0.04,-0.116,0.178
Disorders_of_lipid_metabolism,0.121,-0.066,0.241,0.178
Vision_defects,-0.096,-0.075,0.449,0.409
Headache__including_migraine,0.214,-0.128,0.164,0.064
Thyroid_disorders,0.311,-0.142,0.008,0.265
Cataract,0.407,-0.178,0.257,0.254
Diseases_of_white_blood_cells,0.585,-0.183,0.039,-0.167
Allergic_rhinitis,0.198,-0.229,0.057,0.006
Adjustment_disorders,0.395,-0.425,0.139,0.055
