"",ML6,ML2,ML4,ML3,ML1,ML5
Asthma,-0.093,1.009,0.022,-0.019,0.011,-0.056
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.355,0.541,0.095,-0.049,-0.156,0.136
Vision_defects,0,0.447,-0.035,-0.022,-0.145,0.434
Depression_and_Mood_disorders,0.195,0.313,0.173,-0.105,0.072,-0.16
Cataract,0.229,0.29,-0.253,0.265,0.191,0.21
Osteoporosis,0.253,0.232,0.031,0.127,0.032,-0.147
Disorders_of_lipid_metabolism,0.078,0.217,-0.055,-0.245,0.328,0.076
Anxiety_disorders,0.322,0.187,0.17,-0.153,0.065,-0.034
Diverticulosis_and_diverticulitis,0.395,0.172,0.094,-0.127,0.321,-0.22
Adjustment_disorders,0.257,0.158,-0.489,0.18,0.155,0.006
Headache__including_migraine,0.255,0.153,-0.149,-0.025,0.088,0.015
Diabetes,-0.029,0.12,-0.047,0.287,0.122,0.237
Coagulation_and_hemorrhagic_disorders,0.048,0.09,0.283,0.311,0.385,0.203
Hypertension,0.178,0.079,0.248,0.138,0.055,0.102
Congestive_heart_failure__nonhypertensive,0.019,0.06,0.95,0.106,0.011,0.063
Diseases_of_white_blood_cells,0.491,0.048,-0.238,0.176,-0.046,-0.152
Urinary_incontinence,0.222,0.041,0.279,0.328,0.082,0.051
Heart_valve_disorders,0.479,0.039,0.354,0.071,0,0.252
Thyroid_disorders,0.218,0.035,-0.162,0.248,-0.134,0.316
Allergic_rhinitis,0.28,0.016,-0.205,-0.269,0.13,-0.065
Acquired_foot_deformities,0.201,-0.006,0.254,-0.328,0.386,-0.323
Cardiac_dysrhythmias,-0.043,-0.032,-0.032,0.062,0.977,0.104
Chronic_ulcer_of_skin,0.018,-0.039,0.078,0.983,0.051,-0.091
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.163,-0.041,-0.098,0.274,0.029,0.024
Chronic_kidney_disease,0.042,-0.046,0.101,-0.092,0.157,0.928
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.461,-0.049,0.14,0.053,0.011,-0.024
Glaucoma,0.628,-0.132,-0.069,0.06,-0.044,0.159
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.53,-0.239,0.061,0.016,0.019,0.083
