"",ML8,ML5,ML4,ML1,ML7,ML6,ML3,ML2
Congestive_heart_failure__nonhypertensive,-0.05,0.891,0.094,0.097,0.118,0.014,-0.196,0.058
Urinary_incontinence,0.082,0.4,0.078,0.005,0.303,0.147,0.264,-0.061
Anxiety_disorders,0.053,0.386,0.016,-0.052,-0.184,0.079,0.452,0.088
Hypertension,0.063,0.341,0.12,-0.042,0.126,0.218,0.191,-0.034
Acquired_foot_deformities,0.062,0.322,-0.264,0.257,-0.359,0.125,0.131,-0.087
Heart_valve_disorders,0.286,0.316,0.244,0.321,0.004,0.149,-0.022,-0.053
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.497,0.239,0.091,-0.219,0.065,0.208,-0.021,-0.165
Depression_and_Mood_disorders,0.218,0.234,-0.109,0.065,-0.138,0.035,0.067,0.259
Osteoporosis,0.654,0.178,-0.003,-0.098,0.048,-0.377,0.11,0.251
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.307,0.156,0.123,-0.01,-0.004,0.235,0.145,-0.363
Diverticulosis_and_diverticulitis,0.453,0.106,-0.122,0.362,-0.199,-0.027,-0.038,0.121
Coagulation_and_hemorrhagic_disorders,-0.115,0.093,0.112,0.846,0.211,0.131,-0.085,0.04
Chronic_ulcer_of_skin,0.066,0.093,-0.102,0.143,0.945,-0.043,0.102,-0.044
Disorders_of_lipid_metabolism,0.238,0.082,0.221,-0.037,-0.264,-0.15,0.17,0.2
Chronic_kidney_disease,-0.035,0.068,0.962,0.09,-0.093,0.004,0.003,-0.068
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.011,0.06,0.023,0.053,-0.043,0.886,0.035,0.258
Diabetes,-0.033,0.04,0.264,0.023,0.262,-0.092,0.251,0.111
Asthma,0.044,0.04,-0.048,0.036,-0.037,0.163,0.052,0.935
Cardiac_dysrhythmias,0.098,0.019,0.285,0.556,0.004,-0.248,0.143,-0.019
Glaucoma,0.224,0.005,0.115,0.139,0.013,0.442,0.252,-0.325
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.131,-0.02,0.068,-0.115,0.285,0.09,0.107,-0.088
Vision_defects,-0.095,-0.045,0.392,-0.107,0.001,0.3,0.039,0.356
Headache__including_migraine,0.259,-0.092,0.077,-0.007,-0.035,0.1,0.05,0.09
Adjustment_disorders,-0.065,-0.122,0.002,-0.023,0.091,0.019,0.988,0.03
Allergic_rhinitis,0.147,-0.155,-0.109,0.384,-0.382,-0.04,0.282,-0.038
Thyroid_disorders,0.211,-0.199,0.268,0.213,0.173,-0.106,0.047,0.037
Diseases_of_white_blood_cells,0.725,-0.225,-0.104,0.008,0.117,0.175,-0.111,-0.068
Cataract,0.441,-0.251,0.31,0.023,0.254,0.138,-0.099,0.212
