"",ML9,ML6,ML8,ML4,ML7,ML5,ML3,ML2,ML1
Congestive_heart_failure__nonhypertensive,-0.032,0.901,0.012,0.13,0.098,0.017,-0.192,0.061,0.056
Urinary_incontinence,0.089,0.389,0.164,0.311,0.062,0.075,0.253,-0.062,-0.049
Anxiety_disorders,0.065,0.378,0.083,-0.178,0.011,0.023,0.449,0.09,-0.052
Heart_valve_disorders,0.318,0.355,0.139,0.006,0.278,-0.041,-0.007,-0.055,0.365
Hypertension,0.024,0.326,0.24,0.141,0.103,0.071,0.182,-0.027,-0.103
Acquired_foot_deformities,0.026,0.287,0.193,-0.327,-0.333,0.383,0.088,-0.079,0.056
Depression_and_Mood_disorders,0.209,0.229,0.049,-0.126,-0.116,0.059,0.062,0.262,0.037
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.461,0.2,0.257,0.068,0.051,0.096,-0.037,-0.168,-0.279
Osteoporosis,0.707,0.18,-0.369,0.034,-0.001,-0.028,0.114,0.233,-0.042
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.275,0.144,0.261,0.005,0.112,0.047,0.14,-0.361,-0.03
Coagulation_and_hemorrhagic_disorders,-0.147,0.137,0.158,0.25,0.105,0.31,-0.104,0.055,0.675
Diverticulosis_and_diverticulitis,0.399,0.098,0.034,-0.168,-0.163,0.307,-0.066,0.128,0.215
Chronic_ulcer_of_skin,0.054,0.097,-0.033,0.963,-0.1,0.041,0.095,-0.044,0.078
Chronic_kidney_disease,-0.044,0.093,0.019,-0.11,0.937,0.14,0,-0.073,0.04
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.026,0.055,0.884,-0.032,0.038,-0.077,0.039,0.274,0.06
Disorders_of_lipid_metabolism,0.193,0.05,-0.087,-0.255,0.147,0.323,0.136,0.198,-0.19
Diabetes,-0.063,0.044,-0.08,0.269,0.249,0.088,0.244,0.112,-0.031
Asthma,0.051,0.042,0.157,-0.037,-0.049,0.001,0.051,0.938,0.025
Glaucoma,0.22,0.013,0.445,0.018,0.135,-0.042,0.257,-0.321,0.176
Vision_defects,-0.093,-0.031,0.277,-0.016,0.408,-0.122,0.053,0.357,-0.051
Cardiac_dysrhythmias,-0.015,-0.031,-0.092,0.052,0.109,0.955,0.046,-0.013,0.057
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.102,-0.041,0.115,0.289,0.043,0.069,0.095,-0.088,-0.168
Headache__including_migraine,0.237,-0.107,0.13,-0.033,0.048,0.113,0.036,0.089,-0.058
Allergic_rhinitis,0.162,-0.122,-0.049,-0.371,-0.079,0.016,0.288,-0.034,0.428
Adjustment_disorders,-0.056,-0.126,0.019,0.096,-0.001,0.037,0.979,0.031,-0.014
Thyroid_disorders,0.275,-0.141,-0.154,0.153,0.337,-0.218,0.08,0.028,0.368
Diseases_of_white_blood_cells,0.712,-0.237,0.203,0.116,-0.105,-0.008,-0.113,-0.073,0.031
Cataract,0.383,-0.276,0.201,0.257,0.248,0.255,-0.129,0.209,-0.117
