"",ML1,ML2
Menstrual_disorders,-0.002,0.71
Anxiety_disorders,0.076,0.544
Dyspareunia,-0.169,0.489
Thyroid_disorders,0.152,0.373
Miscellaneous_mental_health_disorders,0.163,0.363
Nonmalignant_breast_conditions,-0.239,0.363
Depression_and_Mood_disorders,0.281,0.359
Allergic_rhinitis,0.121,0.31
Headache__including_migraine,0.251,0.285
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.042,0.264
Female_infertility,0.051,0.226
Asthma,0.134,0.211
Esophageal_disorders,0.106,0.203
Psoriasis_and_other_inflammatory,0.025,0.199
Disorders_of_lipid_metabolism,0.462,0.19
Vision_defects,-0.003,0.173
Other_nutritional__endocrine__and_metabolic_disorders,0.159,0.147
Obesity,0.61,0.113
Other_acquired_deformities,0.044,0.112
Neuropathy_and_other_nervous_system_disorders,0.627,0.085
Hypertension,0.679,0.078
Atopic_dermatitis,0.183,-0.104
Urinary_incontinence,0.781,-0.158
