"",ML1,ML2,ML3
Menstrual_disorders,0.011,0.678,0.071
Anxiety_disorders,0.065,0.548,0.048
Dyspareunia,-0.151,0.455,0.01
Miscellaneous_mental_health_disorders,0.156,0.395,-0.099
Depression_and_Mood_disorders,0.283,0.354,0.043
Thyroid_disorders,0.145,0.345,0.178
Allergic_rhinitis,0.119,0.323,-0.022
Nonmalignant_breast_conditions,-0.276,0.303,0.453
Headache__including_migraine,0.247,0.303,-0.043
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.029,0.274,0.002
Esophageal_disorders,0.097,0.256,-0.201
Asthma,0.139,0.253,-0.17
Vision_defects,-0.01,0.253,-0.293
Female_infertility,0.045,0.249,-0.062
Psoriasis_and_other_inflammatory,0.004,0.244,-0.077
Disorders_of_lipid_metabolism,0.433,0.229,0.011
Obesity,0.622,0.175,-0.206
Hypertension,0.665,0.126,-0.05
Neuropathy_and_other_nervous_system_disorders,0.625,0.075,0.149
Other_acquired_deformities,0.043,0.035,0.357
Other_nutritional__endocrine__and_metabolic_disorders,0.162,0.026,0.658
Atopic_dermatitis,0.19,-0.122,0.087
Urinary_incontinence,0.777,-0.159,0.119
