"",ML3,ML4,ML1,ML2
Dyspareunia,-0.102,0.677,-0.22,-0.144
Menstrual_disorders,0.063,0.666,0.096,0.149
Anxiety_disorders,0.131,0.436,0.13,0.134
Thyroid_disorders,0.199,0.349,0.071,0.008
Miscellaneous_mental_health_disorders,0.164,0.341,-0.028,0.227
Nonmalignant_breast_conditions,-0.165,0.331,0.172,-0.142
Depression_and_Mood_disorders,0.298,0.273,0.143,0.165
Allergic_rhinitis,0.186,0.272,-0.021,-0.022
Headache__including_migraine,0.29,0.24,-0.039,0.067
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.084,0.189,0.136,-0.009
Other_nutritional__endocrine__and_metabolic_disorders,0.221,0.162,-0.094,-0.099
Asthma,0.159,0.143,0.203,0
Other_acquired_deformities,0.084,0.125,0.011,-0.104
Obesity,0.648,0.124,0.057,-0.149
Neuropathy_and_other_nervous_system_disorders,0.662,0.097,0.004,-0.092
Female_infertility,0.053,0.095,0.174,0.183
Disorders_of_lipid_metabolism,0.433,0.082,0.203,0.257
Vision_defects,-0.033,0.058,0.167,0.279
Hypertension,0.671,0.023,0.049,0.093
Esophageal_disorders,-0.028,0.003,-0.043,1
Psoriasis_and_other_inflammatory,-0.012,-0.024,0.999,-0.039
Atopic_dermatitis,0.207,-0.061,-0.346,0.041
Urinary_incontinence,0.782,-0.158,-0.118,0.001
