"",ML1,ML7,ML6,ML5,ML4,ML3,ML2
Other_nutritional__endocrine__and_metabolic_disorders,0.043,0.611,-0.016,-0.055,-0.159,-0.142,-0.183
Nonmalignant_breast_conditions,-0.295,0.435,-0.015,-0.158,0.097,0.158,0.061
Menstrual_disorders,0.203,0.381,-0.087,0.218,0.342,0.1,0.014
Thyroid_disorders,-0.025,0.349,0.113,0.052,0.205,0.096,-0.003
Anxiety_disorders,0.02,0.344,0.075,0.16,0.179,0.131,0.083
Allergic_rhinitis,0.133,0.344,-0.016,-0.031,0.01,-0.072,0.172
Headache__including_migraine,0.093,0.264,0.152,0.056,0.012,-0.065,0.202
Female_infertility,0.111,0.251,-0.184,0.234,-0.126,0.14,-0.164
Neuropathy_and_other_nervous_system_disorders,0.098,0.242,0.475,-0.069,0.108,0.042,0.117
Other_acquired_deformities,-0.354,0.232,0.346,-0.156,0.097,0.034,0.196
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.003,0.211,0.045,-0.004,0.018,0.124,0.053
Atopic_dermatitis,0.073,0.195,0.076,-0.02,-0.176,-0.415,0.228
Depression_and_Mood_disorders,0.153,0.191,0.209,0.212,0.155,0.167,-0.006
Hypertension,0.476,0.153,0.206,0.167,-0.057,0.048,-0.078
Disorders_of_lipid_metabolism,0.249,0.147,0.135,0.356,0.096,0.245,-0.211
Asthma,0.163,0.098,0.028,0.004,0.038,0.185,0.103
Miscellaneous_mental_health_disorders,-0.01,0.083,0.175,0.263,0.327,0.029,0.082
Obesity,0.968,-0.006,0.054,-0.092,0.031,0.004,0.075
Psoriasis_and_other_inflammatory,0.002,-0.015,-0.013,-0.045,-0.072,0.987,0.036
Vision_defects,0.05,-0.023,-0.037,0.061,-0.022,0.026,0.976
Esophageal_disorders,-0.071,-0.026,0.006,0.988,-0.032,-0.053,0.07
Dyspareunia,0.008,-0.032,-0.035,-0.038,0.994,-0.065,-0.025
Urinary_incontinence,0.047,-0.052,0.98,0.023,-0.052,-0.024,-0.054
