"",ML8,ML6,ML1,ML4,ML5,ML3,ML7,ML2
Urinary_incontinence,-0.042,0.984,0.043,-0.047,-0.008,-0.013,0.03,-0.059
Neuropathy_and_other_nervous_system_disorders,0.165,0.457,0.048,0.096,0.203,0.004,-0.127,0.147
Other_acquired_deformities,0.198,0.324,-0.37,0.083,0.057,0.008,-0.181,0.205
Depression_and_Mood_disorders,0.271,0.25,0.164,0.141,-0.111,0.204,0.242,-0.037
Hypertension,0.11,0.194,0.412,-0.075,0.272,0.007,0.093,-0.039
Miscellaneous_mental_health_disorders,0.077,0.18,-0.023,0.319,0.064,0.025,0.243,0.089
Headache__including_migraine,0.263,0.146,0.064,-0.008,0.086,-0.084,0.024,0.212
Thyroid_disorders,0.313,0.117,-0.053,0.185,0.107,0.08,0.017,0.007
Anxiety_disorders,0.378,0.094,0.005,0.152,0.011,0.133,0.149,0.075
Obesity,0.032,0.069,0.929,0.024,0.085,0.005,-0.109,0.085
Atopic_dermatitis,0.154,0.055,0.043,-0.186,0.102,-0.44,-0.057,0.248
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.227,0.051,-0.012,0.002,0.01,0.12,-0.012,0.05
Asthma,0.118,0.043,0.16,0.032,-0.021,0.194,0.01,0.094
Esophageal_disorders,0.007,0.016,-0.081,-0.045,0.097,-0.055,0.956,0.08
Disorders_of_lipid_metabolism,-0.031,0.012,0.067,0.041,0.948,0.044,0.086,-0.05
Other_nutritional__endocrine__and_metabolic_disorders,0.593,0.007,0.02,-0.186,0.023,-0.138,-0.071,-0.191
Psoriasis_and_other_inflammatory,-0.005,-0.006,-0.004,-0.082,0.047,0.972,-0.053,0.037
Allergic_rhinitis,0.337,-0.014,0.106,-0.011,0.059,-0.084,-0.055,0.177
Dyspareunia,-0.019,-0.036,0.001,0.99,0.036,-0.069,-0.048,-0.018
Menstrual_disorders,0.526,-0.043,0.208,0.304,-0.127,0.133,0.243,-0.021
Vision_defects,-0.037,-0.044,0.05,-0.016,-0.049,0.024,0.066,0.973
Nonmalignant_breast_conditions,0.371,-0.056,-0.351,0.06,0.253,0.087,-0.243,0.102
Female_infertility,0.214,-0.2,0.059,-0.153,0.255,0.092,0.158,-0.127
