"",ML6,ML9,ML3,ML1,ML7,ML5,ML4,ML2,ML8
Asthma,0.016,0.503,-0.028,0.09,0.001,-0.121,-0.065,0.029,-0.125
Allergic_rhinitis,0.02,0.483,0.023,0.025,0.01,-0.005,-0.063,0.086,-0.131
Female_infertility,-0.184,0.404,-0.163,-0.009,0.235,0.011,0.125,-0.177,-0.009
Menstrual_disorders,-0.022,0.379,0.341,0.185,-0.132,0.185,0.237,-0.013,0.173
Anxiety_disorders,0.131,0.339,0.163,-0.022,-0.013,0.063,0.146,0.06,0.229
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.106,0.301,-0.008,-0.05,-0.02,-0.122,-0.022,0.002,0.225
Thyroid_disorders,0.126,0.285,0.199,-0.079,0.099,0.121,0.009,-0.003,0.065
Depression_and_Mood_disorders,0.247,0.244,0.124,0.161,-0.099,0.105,0.221,-0.015,0.191
Neuropathy_and_other_nervous_system_disorders,0.429,0.224,0.1,0.025,0.209,0.14,-0.139,0.131,-0.161
Psoriasis_and_other_inflammatory,-0.077,0.204,-0.266,0.033,0.195,-0.061,-0.18,0.143,0.552
Headache__including_migraine,0.193,0.188,0.037,0.04,0.045,0.012,0.05,0.171,0.033
Atopic_dermatitis,0.046,0.175,-0.09,-0.014,0.074,0.094,-0.036,0.162,-0.641
Miscellaneous_mental_health_disorders,0.181,0.102,0.313,-0.021,0.064,-0.041,0.24,0.081,0.057
Nonmalignant_breast_conditions,-0.028,0.033,0.114,-0.336,0.238,0.31,-0.204,0.151,0.227
Obesity,0.067,0.018,0.04,0.929,0.075,0.042,-0.097,0.091,0.01
Esophageal_disorders,0.012,-0.002,-0.039,-0.068,0.094,0.003,0.962,0.09,-0.019
Dyspareunia,-0.06,-0.005,0.995,0.016,0.043,-0.053,-0.046,-0.016,-0.019
Disorders_of_lipid_metabolism,0.017,-0.007,0.044,0.068,0.956,-0.02,0.09,-0.056,-0.001
Vision_defects,-0.053,-0.008,-0.019,0.063,-0.054,-0.06,0.085,0.968,-0.021
Urinary_incontinence,0.976,-0.016,-0.072,0.062,0.004,-0.041,0.026,-0.066,-0.016
Other_nutritional__endocrine__and_metabolic_disorders,-0.028,-0.017,-0.052,0.035,-0.022,1.005,0.01,-0.056,-0.039
Hypertension,0.211,-0.025,-0.049,0.424,0.254,0.123,0.12,-0.016,0.114
Other_acquired_deformities,0.326,-0.045,0.115,-0.343,0.055,0.226,-0.149,0.244,0.079
