"",ML4,ML10,ML8,ML7,ML1,ML9,ML5,ML2,ML6,ML3
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.1,0.956,0.068,-0.047,-0.028,0.124,-0.058,0.131,0.127,0.082
Obesity,0.031,0.39,0.206,0.183,-0.012,-0.244,0.3,0.206,0.03,-0.084
Hepatitis,0.156,0.312,-0.275,0.101,0.229,-0.315,-0.185,-0.451,-0.072,-0.007
Anxiety_disorders,0.213,0.311,0.076,0.173,0.271,-0.01,0.117,-0.232,-0.002,0.08
Miscellaneous_mental_health_disorders,0.316,0.221,0.248,0.217,-0.048,0.343,0.125,-0.366,-0.234,0.033
Menstrual_disorders,0.431,0.201,0.016,0.275,-0.043,0.079,0.121,-0.178,-0.093,0.118
Psoriasis_and_other_inflammatory,-0.058,0.2,0.096,-0.076,0.048,0.231,-0.155,-0.078,0.151,0.185
Diseases_of_white_blood_cells,0.13,0.194,-0.092,0.139,0.063,-0.067,-0.028,0.907,-0.142,0.035
Esophageal_disorders,0.253,0.189,0.213,-0.081,0.062,0.126,0.432,0.216,-0.273,-0.239
Asthma,0.114,0.146,0.055,0.055,0.045,0.004,0.116,-0.105,0.922,-0.054
Adictions,0.315,0.135,-0.239,0.056,0.34,-0.041,0.009,-0.159,0.012,-0.088
Adjustment_disorders,-0.056,0.125,-0.113,0.079,0.19,0.901,0.02,-0.057,0.02,-0.106
Hypertension,-0.106,0.092,-0.296,0.279,0.047,0.104,0.13,-0.095,-0.071,-0.022
Vision_defects,-0.012,0.063,0.011,0.017,0.079,-0.068,0.073,0.011,-0.053,0.975
Thyroid_disorders,0.034,0.052,0.409,-0.017,0.139,0.034,0.112,0.098,-0.034,-0.05
Disorders_of_lipid_metabolism,0.058,0.048,0.093,0.181,0.105,0.23,-0.291,0.089,0.211,-0.031
Urinary_incontinence,-0.014,0.046,0.983,0.02,0.068,-0.091,-0.082,-0.08,0.041,0.027
Neuropathy_and_other_nervous_system_disorders,-0.239,0.015,0.159,0.221,0.326,-0.113,0.079,-0.091,0.116,-0.114
Other_acquired_deformities,0.076,-0.011,-0.035,0.041,-0.138,0.296,-0.033,0.15,0.34,0.094
Allergic_rhinitis,0.048,-0.037,0.272,0.155,-0.086,0.288,0.15,0.148,0.054,0.182
Depression_and_Mood_disorders,0.082,-0.068,0.084,-0.018,0.943,0.149,0,0.068,0.036,0.1
Other_nutritional__endocrine__and_metabolic_disorders,-0.044,-0.07,-0.085,-0.036,0.004,0.002,0.992,-0.033,0.104,0.089
Headache__including_migraine,-0.022,-0.084,0.009,1.018,-0.023,0.032,-0.046,0.081,0.045,0.015
Alcohol-related_disorders,0.933,-0.115,-0.004,0.006,0.136,-0.071,-0.032,0.107,0.123,-0.029
Atopic_dermatitis,0.398,-0.175,0.08,-0.128,-0.286,0.224,-0.113,0.073,0.223,0.233
