"",ML4,ML10,ML8,ML1,ML7,ML5,ML9,ML2,ML6,ML3,ML11
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.095,0.96,0.066,-0.03,-0.045,-0.062,0.123,0.132,0.13,0.084,0.02
Obesity,0.015,0.357,0.184,0.009,0.132,0.343,-0.301,0.144,-0.021,-0.092,0.366
Hepatitis,0.169,0.31,-0.271,0.227,0.096,-0.194,-0.309,-0.448,-0.073,-0.008,-0.049
Anxiety_disorders,0.217,0.302,0.072,0.276,0.159,0.125,-0.022,-0.244,-0.013,0.079,0.085
Miscellaneous_mental_health_disorders,0.322,0.224,0.256,-0.048,0.223,0.119,0.35,-0.354,-0.223,0.034,-0.014
Psoriasis_and_other_inflammatory,-0.062,0.207,0.095,0.049,-0.075,-0.149,0.222,-0.077,0.148,0.184,0.039
Menstrual_disorders,0.436,0.198,0.022,-0.042,0.278,0.117,0.085,-0.171,-0.086,0.12,0.002
Esophageal_disorders,0.267,0.191,0.218,0.058,-0.063,0.41,0.157,0.234,-0.246,-0.233,-0.14
Diseases_of_white_blood_cells,0.129,0.191,-0.098,0.063,0.144,-0.031,-0.066,0.905,-0.138,0.038,0.019
Asthma,0.115,0.147,0.049,0.034,0.056,0.122,0.003,-0.1,0.922,-0.049,0.016
Adictions,0.335,0.145,-0.23,0.329,0.076,-0.017,-0.01,-0.13,0.037,-0.083,-0.195
Adjustment_disorders,-0.058,0.137,-0.113,0.191,0.078,0.028,0.885,-0.049,0.021,-0.108,0.061
Vision_defects,-0.015,0.069,0.016,0.084,0.025,0.071,-0.062,0.016,-0.048,0.974,-0.027
Hypertension,-0.126,0.065,-0.313,0.071,0.222,0.179,0.033,-0.153,-0.128,-0.036,0.387
Urinary_incontinence,-0.01,0.046,0.979,0.062,0.028,-0.082,-0.083,-0.082,0.044,0.034,0.003
Neuropathy_and_other_nervous_system_disorders,-0.201,0.038,0.172,0.295,0.267,0.03,-0.044,-0.035,0.167,-0.098,-0.407
Thyroid_disorders,0.018,0.031,0.392,0.156,-0.053,0.147,-0.011,0.053,-0.072,-0.056,0.288
Disorders_of_lipid_metabolism,0.013,0.011,0.061,0.139,0.101,-0.207,0.114,-0.001,0.122,-0.049,0.672
Other_acquired_deformities,0.066,-0.005,-0.037,-0.14,0.044,-0.024,0.286,0.152,0.339,0.094,0.06
Allergic_rhinitis,0.043,-0.036,0.27,-0.085,0.156,0.158,0.281,0.146,0.054,0.183,0.061
Depression_and_Mood_disorders,0.087,-0.069,0.074,0.947,-0.03,0.01,0.135,0.06,0.025,0.102,0.05
Other_nutritional__endocrine__and_metabolic_disorders,-0.038,-0.08,-0.085,0.008,-0.042,0.99,0.013,-0.036,0.109,0.09,-0.041
Headache__including_migraine,-0.008,-0.086,0.01,-0.036,1.017,-0.046,0.034,0.088,0.045,0.022,0.019
Alcohol-related_disorders,0.928,-0.122,-0.004,0.138,0.012,-0.034,-0.069,0.113,0.13,-0.027,0.021
Atopic_dermatitis,0.369,-0.183,0.073,-0.272,-0.144,-0.083,0.185,0.05,0.2,0.226,0.242
