"",ML2,ML1
Adjustment_disorders,0.014,0.993
Miscellaneous_mental_health_disorders,0.448,0.34
Depression_and_Mood_disorders,0.532,0.245
Other_acquired_deformities,0.06,0.237
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.417,0.224
Hypertension,0.026,0.221
Disorders_of_lipid_metabolism,0.257,0.212
Psoriasis_and_other_inflammatory,0.211,0.177
Allergic_rhinitis,0.305,0.172
Esophageal_disorders,0.3,0.147
Headache__including_migraine,0.421,0.122
Asthma,0.339,0.106
Other_nutritional__endocrine__and_metabolic_disorders,0.126,0.073
Menstrual_disorders,0.581,0.051
Anxiety_disorders,0.679,0.044
Adictions,0.442,0.039
Atopic_dermatitis,0.027,0.025
Neuropathy_and_other_nervous_system_disorders,0.269,0.005
Thyroid_disorders,0.408,-0.028
Diseases_of_white_blood_cells,0.208,-0.108
Alcohol-related_disorders,0.578,-0.165
Hepatitis,0.323,-0.188
Obesity,0.529,-0.198
Urinary_incontinence,0.493,-0.203
Vision_defects,0.339,-0.249
