"",ML3,ML4,ML1,ML2
Hepatitis,-0.138,0.807,-0.178,-0.178
Adictions,-0.093,0.767,0.086,0.046
Anxiety_disorders,0.376,0.466,0.158,0.006
Depression_and_Mood_disorders,0.181,0.442,0.334,0.161
Alcohol-related_disorders,0.208,0.426,-0.067,0.281
Menstrual_disorders,0.29,0.354,0.156,0.091
Neuropathy_and_other_nervous_system_disorders,0.139,0.325,0.032,-0.064
Headache__including_migraine,0.144,0.245,0.203,0.3
Miscellaneous_mental_health_disorders,0.383,0.188,0.42,-0.118
Obesity,0.398,0.164,-0.103,0.342
Hypertension,-0.179,0.132,0.234,0.015
Asthma,0.38,0.104,0.164,-0.237
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.326,0.093,0.303,0.3
Thyroid_disorders,0.437,0.054,0.044,0.116
Vision_defects,0.308,0.052,-0.185,0.13
Esophageal_disorders,0.18,0.046,0.211,0.331
Disorders_of_lipid_metabolism,0.236,-0.029,0.272,0.09
Psoriasis_and_other_inflammatory,0.285,-0.032,0.22,-0.088
Adjustment_disorders,-0.083,-0.038,1.02,-0.041
Diseases_of_white_blood_cells,-0.074,-0.052,-0.048,1.002
Other_nutritional__endocrine__and_metabolic_disorders,0.122,-0.065,0.113,-0.072
Other_acquired_deformities,0.068,-0.066,0.258,0.064
Urinary_incontinence,0.872,-0.125,-0.127,-0.101
Allergic_rhinitis,0.383,-0.133,0.243,0.145
Atopic_dermatitis,0.17,-0.182,0.04,-0.006
