"",ML5,ML1,ML3,ML2,ML4
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.11,0.965,0.12,0.098,0.144
Obesity,0.258,0.444,-0.182,-0.012,0.208
Urinary_incontinence,0.435,0.401,-0.246,-0.272,-0.276
Anxiety_disorders,0.456,0.311,0.104,0.183,-0.12
Psoriasis_and_other_inflammatory,0.131,0.295,0.13,-0.208,-0.192
Asthma,0.36,0.294,0.056,-0.101,-0.37
Vision_defects,0.199,0.264,-0.244,-0.035,0.039
Miscellaneous_mental_health_disorders,0.346,0.227,0.358,0.016,-0.215
Menstrual_disorders,0.46,0.153,0.127,0.146,-0.002
Thyroid_disorders,0.327,0.15,0.011,-0.023,0.036
Diseases_of_white_blood_cells,0.081,0.145,-0.05,-0.114,0.959
Esophageal_disorders,0.241,0.115,0.188,-0.018,0.276
Allergic_rhinitis,0.316,0.113,0.186,-0.27,0.051
Disorders_of_lipid_metabolism,0.216,0.103,0.234,-0.017,0.044
Neuropathy_and_other_nervous_system_disorders,0.145,0.094,0.043,0.196,-0.094
Hepatitis,0.018,0.089,-0.096,0.985,-0.106
Adjustment_disorders,-0.006,0.062,0.983,-0.083,-0.045
Other_acquired_deformities,0.113,0.041,0.225,-0.145,0.027
Headache__including_migraine,0.294,0.012,0.226,0.131,0.267
Hypertension,-0.12,-0.003,0.259,0.211,0.06
Other_nutritional__endocrine__and_metabolic_disorders,0.192,-0.018,0.077,-0.271,-0.134
Depression_and_Mood_disorders,0.515,-0.03,0.354,0.19,0.102
Adictions,0.343,-0.062,0.159,0.55,0.045
Atopic_dermatitis,0.263,-0.116,0.015,-0.23,-0.044
Alcohol-related_disorders,0.785,-0.228,-0.031,0.095,0.202
