"",ML6,ML1,ML3,ML5,ML4,ML2
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.118,0.966,0.096,0.115,0.01,0.14
Obesity,0.251,0.432,-0.016,-0.21,0.121,0.199
Urinary_incontinence,0.394,0.399,-0.273,-0.265,0.078,-0.277
Anxiety_disorders,0.443,0.305,0.174,0.072,0.146,-0.129
Psoriasis_and_other_inflammatory,0.127,0.293,-0.212,0.113,0.062,-0.197
Asthma,0.321,0.287,-0.103,0.024,0.151,-0.375
Vision_defects,0.2,0.273,-0.04,-0.236,-0.066,0.041
Miscellaneous_mental_health_disorders,0.352,0.246,0.002,0.361,-0.046,-0.214
Menstrual_disorders,0.456,0.159,0.135,0.115,0.041,-0.004
Esophageal_disorders,0.303,0.146,-0.04,0.219,-0.223,0.281
Diseases_of_white_blood_cells,0.079,0.141,-0.117,-0.055,0.026,0.958
Thyroid_disorders,0.288,0.138,-0.022,-0.021,0.172,0.03
Neuropathy_and_other_nervous_system_disorders,0.212,0.119,0.178,0.071,-0.202,-0.092
Allergic_rhinitis,0.304,0.114,-0.277,0.166,0.079,0.048
Hepatitis,0.027,0.082,0.985,-0.098,0.042,-0.111
Adjustment_disorders,-0.008,0.068,-0.091,0.967,0.079,-0.049
Other_acquired_deformities,0.093,0.033,-0.145,0.203,0.117,0.023
Other_nutritional__endocrine__and_metabolic_disorders,0.284,0.023,-0.296,0.121,-0.327,-0.127
Disorders_of_lipid_metabolism,0.019,0.001,0.019,0.07,0.982,0.011
Headache__including_migraine,0.252,-0.002,0.131,0.191,0.203,0.262
Hypertension,-0.149,-0.017,0.218,0.239,0.144,0.056
Depression_and_Mood_disorders,0.514,-0.026,0.177,0.332,0.095,0.097
Adictions,0.434,-0.03,0.524,0.193,-0.238,0.047
Atopic_dermatitis,0.188,-0.146,-0.219,-0.039,0.314,-0.051
Alcohol-related_disorders,0.763,-0.226,0.083,-0.052,0.098,0.201
