"",ML9,ML7,ML8,ML2,ML5,ML4,ML1,ML6,ML3
Urinary_incontinence,-0.034,0.99,-0.09,-0.093,0.068,-0.084,0.051,0.048,0.028
Thyroid_disorders,0.115,0.408,0.031,0.095,0.093,0.114,0.029,-0.034,-0.052
Miscellaneous_mental_health_disorders,0.423,0.303,0.418,-0.214,-0.002,0.109,0.13,-0.156,0.044
Allergic_rhinitis,0.127,0.27,0.32,0.166,-0.131,0.13,-0.072,0.072,0.193
Esophageal_disorders,0.186,0.237,0.115,0.278,0.087,0.448,0.115,-0.229,-0.25
Obesity,0.196,0.223,-0.194,0.282,-0.038,0.281,0.362,0.054,-0.075
Neuropathy_and_other_nervous_system_disorders,0.023,0.148,-0.057,-0.103,0.259,0.053,0.087,0.08,-0.1
Anxiety_disorders,0.319,0.112,0.045,-0.114,0.298,0.101,0.26,0.048,0.086
Disorders_of_lipid_metabolism,0.062,0.094,0.261,0.122,0.091,-0.311,0.026,0.233,-0.021
Psoriasis_and_other_inflammatory,-0.079,0.088,0.214,-0.105,0.044,-0.148,0.189,0.147,0.183
Atopic_dermatitis,0.131,0.085,0.172,0.094,-0.249,-0.103,-0.284,0.282,0.225
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.008,0.078,0.131,0.168,-0.032,-0.05,0.905,0.142,0.082
Depression_and_Mood_disorders,-0.02,0.078,0.131,0.065,0.952,0.004,-0.051,0.035,0.09
Menstrual_disorders,0.609,0.068,0.159,0.002,-0.036,0.095,0.08,-0.007,0.132
Alcohol-related_disorders,0.576,0.05,-0.092,0.299,0.241,-0.03,-0.315,0.269,-0.041
Headache__including_migraine,0.408,0.043,0.268,0.282,-0.068,-0.155,-0.057,0.095,0.073
Asthma,0.007,0.042,-0.005,-0.11,0.046,0.096,0.122,0.953,-0.049
Vision_defects,0.016,0.007,-0.067,0.016,0.075,0.066,0.049,-0.051,0.977
Other_acquired_deformities,0.005,-0.047,0.292,0.141,-0.158,-0.043,-0.049,0.358,0.099
Other_nutritional__endocrine__and_metabolic_disorders,-0.03,-0.093,-0.002,-0.057,0.004,0.987,-0.045,0.099,0.088
Diseases_of_white_blood_cells,-0.006,-0.093,-0.057,0.973,0.062,-0.039,0.14,-0.107,0.036
Adjustment_disorders,-0.015,-0.117,0.928,-0.059,0.173,0.014,0.11,0.026,-0.099
Adictions,0.489,-0.215,-0.017,-0.061,0.311,0.007,0.057,0.049,-0.089
Hepatitis,0.51,-0.243,-0.264,-0.345,0.195,-0.189,0.269,-0.057,-0.003
Hypertension,0.126,-0.287,0.184,-0.039,0.023,0.101,0.116,-0.073,-0.004
