"",ML3,ML2,ML1
Adictions,0.046,0.901,0.175
Depression_and_Mood_disorders,0.434,0.374,-0.029
Obesity,0.444,0.265,-0.204
Anxiety_disorders,0.602,0.187,0.076
Menstrual_disorders,0.524,0.133,0.044
Allergic_rhinitis,0.441,0.128,-0.385
Hepatitis,0.028,0.114,0.941
Asthma,0.359,0.083,-0.071
Atopic_dermatitis,0.062,0.075,-0.255
Miscellaneous_mental_health_disorders,0.553,0.054,-0.011
Headache__including_migraine,0.51,0.007,0.04
Thyroid_disorders,0.41,-0.028,-0.022
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.591,-0.121,0.074
Vision_defects,0.295,-0.187,0.068
Hypertension,0.256,-0.257,0.28
Disorders_of_lipid_metabolism,0.567,-0.39,0.12
