"",ML7,ML1,ML6,ML2,ML5,ML4,ML3
Hepatitis,0.02,0.995,0.043,0.063,-0.068,0.051,-0.051
Adictions,0.668,0.396,-0.047,-0.297,0.229,-0.152,0.14
Hypertension,-0.378,0.293,-0.075,0.168,0.408,0.023,-0.083
Menstrual_disorders,0.359,0.062,0.133,0.125,0.051,0.134,-0.057
Anxiety_disorders,0.532,0.058,0.23,0.236,-0.005,0.104,-0.152
Disorders_of_lipid_metabolism,0.042,0.056,0,0.968,0.062,-0.074,0.116
Vision_defects,0.018,0.046,-0.004,-0.072,0.03,0.996,0.057
Headache__including_migraine,0.215,0.039,-0.019,0.273,0.187,0.063,-0.121
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.033,0.028,0.996,-0.035,0.04,-0.005,0.004
Thyroid_disorders,0.062,-0.005,0.059,0.189,0.23,0.015,-0.005
Miscellaneous_mental_health_disorders,0.253,-0.008,0.319,0.055,0.002,0.001,-0.043
Asthma,0.187,-0.017,0.316,0.116,-0.039,-0.108,0.257
Depression_and_Mood_disorders,0.752,-0.028,0.012,0.224,-0.066,0.146,-0.125
Atopic_dermatitis,-0.036,-0.041,0.002,0.088,-0.028,0.065,0.966
Obesity,0.004,-0.089,0.074,0.042,0.969,0.032,-0.021
Allergic_rhinitis,0.338,-0.359,0.07,0.102,0.138,0.159,0.067
